Year,GEO,EXP_type,VALUE
2000,New Brunswick,Export Percent Change,21.60%
2001,New Brunswick,Export Percent Change,11.70%
2002,New Brunswick,Export Percent Change,-1.30%
2003,New Brunswick,Export Percent Change,4.30%
2004,New Brunswick,Export Percent Change,10.80%
2005,New Brunswick,Export Percent Change,13.10%
2006,New Brunswick,Export Percent Change,-2.80%
2007,New Brunswick,Export Percent Change,7.80%
2008,New Brunswick,Export Percent Change,14.50%
2009,New Brunswick,Export Percent Change,-23.30%
2010,New Brunswick,Export Percent Change,28.90%
2011,New Brunswick,Export Percent Change,16.80%
2012,New Brunswick,Export Percent Change,0.80%
2013,New Brunswick,Export Percent Change,-3.00%
2014,New Brunswick,Export Percent Change,-9.90%
2015,New Brunswick,Export Percent Change,-6.30%
2016,New Brunswick,Export Percent Change,-12.80%
2017,New Brunswick,Export Percent Change,20.80%
2018,New Brunswick,Export Percent Change,-1.90%
2019,New Brunswick,Export Percent Change,3.80%
2020,New Brunswick,Export Percent Change,-21.30%
2021,New Brunswick,Export Percent Change,43.90%
2022,New Brunswick,Export Percent Change,26.80%
2023,New Brunswick,Export Percent Change,-10.10%
1988,Nova Scotia,Export Percent Change,
1989,Nova Scotia,Export Percent Change,-0.30%
1990,Nova Scotia,Export Percent Change,3.40%
1991,Nova Scotia,Export Percent Change,-2.90%
1992,Nova Scotia,Export Percent Change,8.70%
1993,Nova Scotia,Export Percent Change,3.80%
1994,Nova Scotia,Export Percent Change,7.40%
1995,Nova Scotia,Export Percent Change,14.10%
1996,Nova Scotia,Export Percent Change,4.70%
1997,Nova Scotia,Export Percent Change,1.40%
1998,Nova Scotia,Export Percent Change,8.80%
1999,Nova Scotia,Export Percent Change,15.80%
2000,Nova Scotia,Export Percent Change,28.80%
2001,Nova Scotia,Export Percent Change,11.20%
2002,Nova Scotia,Export Percent Change,-8.40%
2003,Nova Scotia,Export Percent Change,2.40%
2004,Nova Scotia,Export Percent Change,1.50%
2005,Nova Scotia,Export Percent Change,4.10%
2006,Nova Scotia,Export Percent Change,-10.30%
2007,Nova Scotia,Export Percent Change,4.30%
2008,Nova Scotia,Export Percent Change,6.80%
2009,Nova Scotia,Export Percent Change,-24.90%
2010,Nova Scotia,Export Percent Change,1.00%
2011,Nova Scotia,Export Percent Change,2.70%
2012,Nova Scotia,Export Percent Change,-12.70%
2013,Nova Scotia,Export Percent Change,12.80%
2014,Nova Scotia,Export Percent Change,21.40%
2015,Nova Scotia,Export Percent Change,1.80%
2016,Nova Scotia,Export Percent Change,-2.20%
2017,Nova Scotia,Export Percent Change,2.30%
2018,Nova Scotia,Export Percent Change,7.00%
2019,Nova Scotia,Export Percent Change,5.70%
2020,Nova Scotia,Export Percent Change,-13.70%
2021,Nova Scotia,Export Percent Change,19.00%
2022,Nova Scotia,Export Percent Change,6.30%
2023,Nova Scotia,Export Percent Change,-2.00%
1988,Prince Edward Island,Export Percent Change,
1989,Prince Edward Island,Export Percent Change,16.40%
1990,Prince Edward Island,Export Percent Change,3.30%
1991,Prince Edward Island,Export Percent Change,0.40%
1992,Prince Edward Island,Export Percent Change,3.30%
1993,Prince Edward Island,Export Percent Change,19.50%
1994,Prince Edward Island,Export Percent Change,38.80%
1995,Prince Edward Island,Export Percent Change,17.30%
1996,Prince Edward Island,Export Percent Change,4.00%
1997,Prince Edward Island,Export Percent Change,23.00%
1998,Prince Edward Island,Export Percent Change,7.10%
1999,Prince Edward Island,Export Percent Change,21.50%
2000,Prince Edward Island,Export Percent Change,20.60%
2001,Prince Edward Island,Export Percent Change,-2.40%
2002,Prince Edward Island,Export Percent Change,2.50%
2003,Prince Edward Island,Export Percent Change,-6.60%
2004,Prince Edward Island,Export Percent Change,1.10%
2005,Prince Edward Island,Export Percent Change,19.90%
2006,Prince Edward Island,Export Percent Change,1.80%
2007,Prince Edward Island,Export Percent Change,-6.10%
2008,Prince Edward Island,Export Percent Change,6.40%
2009,Prince Edward Island,Export Percent Change,-3.40%
2010,Prince Edward Island,Export Percent Change,-8.90%
2011,Prince Edward Island,Export Percent Change,5.80%
2012,Prince Edward Island,Export Percent Change,14.90%
2013,Prince Edward Island,Export Percent Change,5.90%
2014,Prince Edward Island,Export Percent Change,20.20%
2015,Prince Edward Island,Export Percent Change,16.20%
2016,Prince Edward Island,Export Percent Change,1.00%
2017,Prince Edward Island,Export Percent Change,5.00%
2018,Prince Edward Island,Export Percent Change,5.10%
2019,Prince Edward Island,Export Percent Change,7.70%
2020,Prince Edward Island,Export Percent Change,1.10%
2021,Prince Edward Island,Export Percent Change,12.40%
2022,Prince Edward Island,Export Percent Change,17.40%
2023,Prince Edward Island,Export Percent Change,17.40%
1988,Newfoundland and Labrador,Export Percent Change,
1989,Newfoundland and Labrador,Export Percent Change,-2.80%
1990,Newfoundland and Labrador,Export Percent Change,3.40%
1991,Newfoundland and Labrador,Export Percent Change,-19.70%
1992,Newfoundland and Labrador,Export Percent Change,-19.50%
1993,Newfoundland and Labrador,Export Percent Change,39.20%
1994,Newfoundland and Labrador,Export Percent Change,-7.50%
1995,Newfoundland and Labrador,Export Percent Change,19.20%
1996,Newfoundland and Labrador,Export Percent Change,21.30%
1997,Newfoundland and Labrador,Export Percent Change,10.10%
1998,Newfoundland and Labrador,Export Percent Change,5.20%
1999,Newfoundland and Labrador,Export Percent Change,10.90%
2000,Newfoundland and Labrador,Export Percent Change,32.70%
2001,Newfoundland and Labrador,Export Percent Change,-11.00%
2002,Newfoundland and Labrador,Export Percent Change,59.80%
2003,Newfoundland and Labrador,Export Percent Change,-14.00%
2004,Newfoundland and Labrador,Export Percent Change,49.10%
2005,Newfoundland and Labrador,Export Percent Change,13.50%
2006,Newfoundland and Labrador,Export Percent Change,18.10%
2007,Newfoundland and Labrador,Export Percent Change,22.80%
2008,Newfoundland and Labrador,Export Percent Change,28.80%
2009,Newfoundland and Labrador,Export Percent Change,-42.70%
2010,Newfoundland and Labrador,Export Percent Change,6.90%
2011,Newfoundland and Labrador,Export Percent Change,31.60%
2012,Newfoundland and Labrador,Export Percent Change,-4.70%
2013,Newfoundland and Labrador,Export Percent Change,3.20%
2014,Newfoundland and Labrador,Export Percent Change,9.80%
2015,Newfoundland and Labrador,Export Percent Change,-30.20%
2016,Newfoundland and Labrador,Export Percent Change,-8.10%
2017,Newfoundland and Labrador,Export Percent Change,21.50%
2018,Newfoundland and Labrador,Export Percent Change,32.00%
2019,Newfoundland and Labrador,Export Percent Change,9.70%
2020,Newfoundland and Labrador,Export Percent Change,-29.40%
2021,Newfoundland and Labrador,Export Percent Change,37.90%
2022,Newfoundland and Labrador,Export Percent Change,10.40%
2023,Newfoundland and Labrador,Export Percent Change,-22.10%
1988,Canada,Export Percent Change,
1989,Canada,Export Percent Change,0.00%
1990,Canada,Export Percent Change,5.10%
1991,Canada,Export Percent Change,-2.30%
1992,Canada,Export Percent Change,11.60%
1993,Canada,Export Percent Change,14.90%
1994,Canada,Export Percent Change,19.60%
1995,Canada,Export Percent Change,16.00%
1996,Canada,Export Percent Change,5.20%
1997,Canada,Export Percent Change,8.00%
1998,Canada,Export Percent Change,6.20%
1999,Canada,Export Percent Change,11.50%
2000,Canada,Export Percent Change,16.30%
2001,Canada,Export Percent Change,-2.70%
2002,Canada,Export Percent Change,-2.60%
2003,Canada,Export Percent Change,-3.00%
2004,Canada,Export Percent Change,8.80%
2005,Canada,Export Percent Change,6.00%
2006,Canada,Export Percent Change,0.70%
2007,Canada,Export Percent Change,2.10%
2008,Canada,Export Percent Change,8.40%
2009,Canada,Export Percent Change,-26.50%
2010,Canada,Export Percent Change,11.80%
2011,Canada,Export Percent Change,12.00%
2012,Canada,Export Percent Change,2.20%
2013,Canada,Export Percent Change,3.60%
2014,Canada,Export Percent Change,11.20%
2015,Canada,Export Percent Change,-2.40%
2016,Canada,Export Percent Change,-2.70%
2017,Canada,Export Percent Change,6.90%
2018,Canada,Export Percent Change,7.50%
2019,Canada,Export Percent Change,1.10%
2020,Canada,Export Percent Change,-12.00%
2021,Canada,Export Percent Change,21.70%
2022,Canada,Export Percent Change,24.90%
2023,Canada,Export Percent Change,-2.20%
1988,British Columbia,Share of Canadian Export,12.90%
1989,British Columbia,Share of Canadian Export,13.20%
1990,British Columbia,Share of Canadian Export,11.70%
1991,British Columbia,Share of Canadian Export,11.00%
1992,British Columbia,Share of Canadian Export,10.60%
1993,British Columbia,Share of Canadian Export,10.70%
1994,British Columbia,Share of Canadian Export,10.80%
1995,British Columbia,Share of Canadian Export,10.90%
1996,British Columbia,Share of Canadian Export,9.90%
1997,British Columbia,Share of Canadian Export,9.50%
1998,British Columbia,Share of Canadian Export,8.70%
1999,British Columbia,Share of Canadian Export,8.80%
2000,British Columbia,Share of Canadian Export,8.70%
2001,British Columbia,Share of Canadian Export,8.40%
2002,British Columbia,Share of Canadian Export,7.90%
2003,British Columbia,Share of Canadian Export,8.00%
2004,British Columbia,Share of Canadian Export,8.00%
2005,British Columbia,Share of Canadian Export,8.40%
2006,British Columbia,Share of Canadian Export,8.10%
2007,British Columbia,Share of Canadian Export,7.50%
2008,British Columbia,Share of Canadian Export,7.30%
2009,British Columbia,Share of Canadian Export,7.50%
2010,British Columbia,Share of Canadian Export,7.70%
2011,British Columbia,Share of Canadian Export,7.80%
2012,British Columbia,Share of Canadian Export,7.40%
2013,British Columbia,Share of Canadian Export,7.50%
2014,British Columbia,Share of Canadian Export,7.30%
2015,British Columbia,Share of Canadian Export,7.40%
2016,British Columbia,Share of Canadian Export,8.20%
2017,British Columbia,Share of Canadian Export,8.60%
2018,British Columbia,Share of Canadian Export,8.60%
2019,British Columbia,Share of Canadian Export,8.00%
2020,British Columbia,Share of Canadian Export,8.30%
2021,British Columbia,Share of Canadian Export,9.30%
2022,British Columbia,Share of Canadian Export,8.90%
2023,British Columbia,Share of Canadian Export,7.90%
1988,Alberta,Share of Canadian Export,9.70%
1989,Alberta,Share of Canadian Export,10.00%
1990,Alberta,Share of Canadian Export,10.80%
1991,Alberta,Share of Canadian Export,11.60%
1992,Alberta,Share of Canadian Export,11.60%
1993,Alberta,Share of Canadian Export,11.10%
1994,Alberta,Share of Canadian Export,10.80%
1995,Alberta,Share of Canadian Export,10.90%
1996,Alberta,Share of Canadian Export,12.20%
1997,Alberta,Share of Canadian Export,12.00%
1998,Alberta,Share of Canadian Export,10.50%
1999,Alberta,Share of Canadian Export,10.50%
2000,Alberta,Share of Canadian Export,14.40%
2001,Alberta,Share of Canadian Export,15.20%
2002,Alberta,Share of Canadian Export,13.40%
2003,Alberta,Share of Canadian Export,16.10%
2004,Alberta,Share of Canadian Export,16.50%
2005,Alberta,Share of Canadian Export,18.70%
2006,Alberta,Share of Canadian Export,18.90%
2007,Alberta,Share of Canadian Export,19.40%
2008,Alberta,Share of Canadian Export,24.20%
2009,Alberta,Share of Canadian Export,20.90%
2010,Alberta,Share of Canadian Export,21.10%
2011,Alberta,Share of Canadian Export,22.20%
2012,Alberta,Share of Canadian Export,22.20%
2013,Alberta,Share of Canadian Export,23.20%
2014,Alberta,Share of Canadian Export,24.60%
2015,Alberta,Share of Canadian Export,19.20%
2016,Alberta,Share of Canadian Export,16.90%
2017,Alberta,Share of Canadian Export,20.10%
2018,Alberta,Share of Canadian Export,21.90%
2019,Alberta,Share of Canadian Export,21.50%
2020,Alberta,Share of Canadian Export,19.20%
2021,Alberta,Share of Canadian Export,23.70%
2022,Alberta,Share of Canadian Export,28.20%
2023,Alberta,Share of Canadian Export,24.60%
1988,Saskatchewan,Share of Canadian Export,4.30%
1989,Saskatchewan,Share of Canadian Export,3.30%
1990,Saskatchewan,Share of Canadian Export,3.80%
1991,Saskatchewan,Share of Canadian Export,4.10%
1992,Saskatchewan,Share of Canadian Export,4.30%
1993,Saskatchewan,Share of Canadian Export,3.40%
1994,Saskatchewan,Share of Canadian Export,3.50%
1995,Saskatchewan,Share of Canadian Export,3.60%
1996,Saskatchewan,Share of Canadian Export,3.60%
1997,Saskatchewan,Share of Canadian Export,3.90%
1998,Saskatchewan,Share of Canadian Export,3.30%
1999,Saskatchewan,Share of Canadian Export,2.90%
2000,Saskatchewan,Share of Canadian Export,3.30%
2001,Saskatchewan,Share of Canadian Export,3.10%
2002,Saskatchewan,Share of Canadian Export,3.10%
2003,Saskatchewan,Share of Canadian Export,2.90%
2004,Saskatchewan,Share of Canadian Export,3.50%
2005,Saskatchewan,Share of Canadian Export,3.60%
2006,Saskatchewan,Share of Canadian Export,3.90%
2007,Saskatchewan,Share of Canadian Export,4.60%
2008,Saskatchewan,Share of Canadian Export,6.50%
2009,Saskatchewan,Share of Canadian Export,6.50%
2010,Saskatchewan,Share of Canadian Export,6.30%
2011,Saskatchewan,Share of Canadian Export,7.10%
2012,Saskatchewan,Share of Canadian Export,7.40%
2013,Saskatchewan,Share of Canadian Export,7.30%
2014,Saskatchewan,Share of Canadian Export,7.20%
2015,Saskatchewan,Share of Canadian Export,6.80%
2016,Saskatchewan,Share of Canadian Export,5.60%
2017,Saskatchewan,Share of Canadian Export,5.70%
2018,Saskatchewan,Share of Canadian Export,5.70%
2019,Saskatchewan,Share of Canadian Export,5.40%
2020,Saskatchewan,Share of Canadian Export,6.20%
2021,Saskatchewan,Share of Canadian Export,6.40%
2022,Saskatchewan,Share of Canadian Export,7.20%
2023,Saskatchewan,Share of Canadian Export,6.90%
1988,Manitoba,Share of Canadian Export,2.20%
1989,Manitoba,Share of Canadian Export,2.20%
1990,Manitoba,Share of Canadian Export,2.10%
1991,Manitoba,Share of Canadian Export,2.20%
1992,Manitoba,Share of Canadian Export,2.20%
1993,Manitoba,Share of Canadian Export,2.10%
1994,Manitoba,Share of Canadian Export,2.10%
1995,Manitoba,Share of Canadian Export,2.20%
1996,Manitoba,Share of Canadian Export,2.40%
1997,Manitoba,Share of Canadian Export,2.60%
1998,Manitoba,Share of Canadian Export,2.70%
1999,Manitoba,Share of Canadian Export,2.40%
2000,Manitoba,Share of Canadian Export,2.50%
2001,Manitoba,Share of Canadian Export,2.60%
2002,Manitoba,Share of Canadian Export,2.60%
2003,Manitoba,Share of Canadian Export,2.60%
2004,Manitoba,Share of Canadian Export,2.40%
2005,Manitoba,Share of Canadian Export,2.30%
2006,Manitoba,Share of Canadian Export,2.50%
2007,Manitoba,Share of Canadian Export,2.90%
2008,Manitoba,Share of Canadian Export,2.80%
2009,Manitoba,Share of Canadian Export,3.20%
2010,Manitoba,Share of Canadian Export,2.70%
2011,Manitoba,Share of Canadian Export,2.80%
2012,Manitoba,Share of Canadian Export,2.70%
2013,Manitoba,Share of Canadian Export,2.80%
2014,Manitoba,Share of Canadian Export,2.70%
2015,Manitoba,Share of Canadian Export,2.90%
2016,Manitoba,Share of Canadian Export,2.90%
2017,Manitoba,Share of Canadian Export,2.80%
2018,Manitoba,Share of Canadian Export,2.90%
2019,Manitoba,Share of Canadian Export,2.90%
2020,Manitoba,Share of Canadian Export,3.30%
2021,Manitoba,Share of Canadian Export,3.00%
2022,Manitoba,Share of Canadian Export,2.80%
2023,Manitoba,Share of Canadian Export,3.00%
1988,Ontario,Share of Canadian Export,48.20%
1989,Ontario,Share of Canadian Export,48.70%
1990,Ontario,Share of Canadian Export,48.60%
1991,Ontario,Share of Canadian Export,48.30%
1992,Ontario,Share of Canadian Export,50.10%
1993,Ontario,Share of Canadian Export,50.10%
1994,Ontario,Share of Canadian Export,50.40%
1995,Ontario,Share of Canadian Export,49.50%
1996,Ontario,Share of Canadian Export,49.30%
1997,Ontario,Share of Canadian Export,49.80%
1998,Ontario,Share of Canadian Export,52.00%
1999,Ontario,Share of Canadian Export,53.00%
2000,Ontario,Share of Canadian Export,48.00%
2001,Ontario,Share of Canadian Export,47.40%
2002,Ontario,Share of Canadian Export,49.50%
2003,Ontario,Share of Canadian Export,47.30%
2004,Ontario,Share of Canadian Export,46.40%
2005,Ontario,Share of Canadian Export,44.10%
2006,Ontario,Share of Canadian Export,43.10%
2007,Ontario,Share of Canadian Export,42.20%
2008,Ontario,Share of Canadian Export,35.90%
2009,Ontario,Share of Canadian Export,37.60%
2010,Ontario,Share of Canadian Export,39.00%
2011,Ontario,Share of Canadian Export,37.10%
2012,Ontario,Share of Canadian Export,38.00%
2013,Ontario,Share of Canadian Export,37.00%
2014,Ontario,Share of Canadian Export,36.10%
2015,Ontario,Share of Canadian Export,40.90%
2016,Ontario,Share of Canadian Export,43.80%
2017,Ontario,Share of Canadian Export,39.80%
2018,Ontario,Share of Canadian Export,37.50%
2019,Ontario,Share of Canadian Export,38.60%
2020,Ontario,Share of Canadian Export,39.10%
2021,Ontario,Share of Canadian Export,33.80%
2022,Ontario,Share of Canadian Export,31.10%
2023,Ontario,Share of Canadian Export,35.40%
1988,Quebec,Share of Canadian Export,17.00%
1989,Quebec,Share of Canadian Export,17.00%
1990,Quebec,Share of Canadian Export,17.50%
1991,Quebec,Share of Canadian Export,17.50%
1992,Quebec,Share of Canadian Export,16.60%
1993,Quebec,Share of Canadian Export,18.10%
1994,Quebec,Share of Canadian Export,18.20%
1995,Quebec,Share of Canadian Export,18.40%
1996,Quebec,Share of Canadian Export,18.10%
1997,Quebec,Share of Canadian Export,17.90%
1998,Quebec,Share of Canadian Export,18.60%
1999,Quebec,Share of Canadian Export,18.00%
2000,Quebec,Share of Canadian Export,18.50%
2001,Quebec,Share of Canadian Export,18.20%
2002,Quebec,Share of Canadian Export,17.90%
2003,Quebec,Share of Canadian Export,17.20%
2004,Quebec,Share of Canadian Export,16.70%
2005,Quebec,Share of Canadian Export,16.40%
2006,Quebec,Share of Canadian Export,16.80%
2007,Quebec,Share of Canadian Export,16.00%
2008,Quebec,Share of Canadian Export,15.20%
2009,Quebec,Share of Canadian Export,16.80%
2010,Quebec,Share of Canadian Export,15.50%
2011,Quebec,Share of Canadian Export,14.80%
2012,Quebec,Share of Canadian Export,14.60%
2013,Quebec,Share of Canadian Export,14.60%
2014,Quebec,Share of Canadian Export,15.10%
2015,Quebec,Share of Canadian Export,16.60%
2016,Quebec,Share of Canadian Export,16.70%
2017,Quebec,Share of Canadian Export,16.60%
2018,Quebec,Share of Canadian Export,16.80%
2019,Quebec,Share of Canadian Export,16.50%
2020,Quebec,Share of Canadian Export,17.60%
2021,Quebec,Share of Canadian Export,16.80%
2022,Quebec,Share of Canadian Export,15.30%
2023,Quebec,Share of Canadian Export,16.30%
1988,New Brunswick,Share of Canadian Export,2.30%
1989,New Brunswick,Share of Canadian Export,2.30%
1990,New Brunswick,Share of Canadian Export,2.20%
1991,New Brunswick,Share of Canadian Export,2.20%
1992,New Brunswick,Share of Canadian Export,2.00%
1993,New Brunswick,Share of Canadian Export,1.90%
1994,New Brunswick,Share of Canadian Export,2.00%
1995,New Brunswick,Share of Canadian Export,2.20%
1996,New Brunswick,Share of Canadian Export,2.10%
1997,New Brunswick,Share of Canadian Export,2.00%
1998,New Brunswick,Share of Canadian Export,1.80%
1999,New Brunswick,Share of Canadian Export,1.80%
2000,New Brunswick,Share of Canadian Export,1.90%
2001,New Brunswick,Share of Canadian Export,2.20%
2002,New Brunswick,Share of Canadian Export,2.20%
2003,New Brunswick,Share of Canadian Export,2.40%
2004,New Brunswick,Share of Canadian Export,2.40%
2005,New Brunswick,Share of Canadian Export,2.60%
2006,New Brunswick,Share of Canadian Export,2.50%
2007,New Brunswick,Share of Canadian Export,2.70%
2008,New Brunswick,Share of Canadian Export,2.80%
2009,New Brunswick,Share of Canadian Export,2.90%
2010,New Brunswick,Share of Canadian Export,3.40%
2011,New Brunswick,Share of Canadian Export,3.50%
2012,New Brunswick,Share of Canadian Export,3.50%
2013,New Brunswick,Share of Canadian Export,3.30%
2014,New Brunswick,Share of Canadian Export,2.60%
2015,New Brunswick,Share of Canadian Export,2.50%
2016,New Brunswick,Share of Canadian Export,2.30%
2017,New Brunswick,Share of Canadian Export,2.60%
2018,New Brunswick,Share of Canadian Export,2.30%
2019,New Brunswick,Share of Canadian Export,2.40%
2020,New Brunswick,Share of Canadian Export,2.20%
2021,New Brunswick,Share of Canadian Export,2.50%
2022,New Brunswick,Share of Canadian Export,2.60%
2023,New Brunswick,Share of Canadian Export,2.40%
1988,Nova Scotia,Share of Canadian Export,1.60%
1989,Nova Scotia,Share of Canadian Export,1.60%
1990,Nova Scotia,Share of Canadian Export,1.60%
1991,Nova Scotia,Share of Canadian Export,1.60%
1992,Nova Scotia,Share of Canadian Export,1.50%
1993,Nova Scotia,Share of Canadian Export,1.40%
1994,Nova Scotia,Share of Canadian Export,1.20%
1995,Nova Scotia,Share of Canadian Export,1.20%
1996,Nova Scotia,Share of Canadian Export,1.20%
1997,Nova Scotia,Share of Canadian Export,1.10%
1998,Nova Scotia,Share of Canadian Export,1.20%
1999,Nova Scotia,Share of Canadian Export,1.20%
2000,Nova Scotia,Share of Canadian Export,1.30%
2001,Nova Scotia,Share of Canadian Export,1.50%
2002,Nova Scotia,Share of Canadian Export,1.40%
2003,Nova Scotia,Share of Canadian Export,1.50%
2004,Nova Scotia,Share of Canadian Export,1.40%
2005,Nova Scotia,Share of Canadian Export,1.40%
2006,Nova Scotia,Share of Canadian Export,1.20%
2007,Nova Scotia,Share of Canadian Export,1.30%
2008,Nova Scotia,Share of Canadian Export,1.20%
2009,Nova Scotia,Share of Canadian Export,1.30%
2010,Nova Scotia,Share of Canadian Export,1.10%
2011,Nova Scotia,Share of Canadian Export,1.00%
2012,Nova Scotia,Share of Canadian Export,0.90%
2013,Nova Scotia,Share of Canadian Export,1.00%
2014,Nova Scotia,Share of Canadian Export,1.10%
2015,Nova Scotia,Share of Canadian Export,1.10%
2016,Nova Scotia,Share of Canadian Export,1.10%
2017,Nova Scotia,Share of Canadian Export,1.10%
2018,Nova Scotia,Share of Canadian Export,1.10%
2019,Nova Scotia,Share of Canadian Export,1.10%
2020,Nova Scotia,Share of Canadian Export,1.10%
2021,Nova Scotia,Share of Canadian Export,1.10%
2022,Nova Scotia,Share of Canadian Export,0.90%
2023,Nova Scotia,Share of Canadian Export,0.90%
1988,Prince Edward Island,Share of Canadian Export,0.10%
1989,Prince Edward Island,Share of Canadian Export,0.10%
1990,Prince Edward Island,Share of Canadian Export,0.10%
1991,Prince Edward Island,Share of Canadian Export,0.10%
1992,Prince Edward Island,Share of Canadian Export,0.10%
1993,Prince Edward Island,Share of Canadian Export,0.10%
1994,Prince Edward Island,Share of Canadian Export,0.10%
1995,Prince Edward Island,Share of Canadian Export,0.10%
1996,Prince Edward Island,Share of Canadian Export,0.10%
1997,Prince Edward Island,Share of Canadian Export,0.20%
1998,Prince Edward Island,Share of Canadian Export,0.20%
1999,Prince Edward Island,Share of Canadian Export,0.20%
2000,Prince Edward Island,Share of Canadian Export,0.20%
2001,Prince Edward Island,Share of Canadian Export,0.20%
2002,Prince Edward Island,Share of Canadian Export,0.20%
2003,Prince Edward Island,Share of Canadian Export,0.20%
2004,Prince Edward Island,Share of Canadian Export,0.20%
2005,Prince Edward Island,Share of Canadian Export,0.20%
2006,Prince Edward Island,Share of Canadian Export,0.20%
2007,Prince Edward Island,Share of Canadian Export,0.20%
2008,Prince Edward Island,Share of Canadian Export,0.20%
2009,Prince Edward Island,Share of Canadian Export,0.20%
2010,Prince Edward Island,Share of Canadian Export,0.20%
2011,Prince Edward Island,Share of Canadian Export,0.20%
2012,Prince Edward Island,Share of Canadian Export,0.20%
2013,Prince Edward Island,Share of Canadian Export,0.20%
2014,Prince Edward Island,Share of Canadian Export,0.20%
2015,Prince Edward Island,Share of Canadian Export,0.30%
2016,Prince Edward Island,Share of Canadian Export,0.30%
2017,Prince Edward Island,Share of Canadian Export,0.30%
2018,Prince Edward Island,Share of Canadian Export,0.30%
2019,Prince Edward Island,Share of Canadian Export,0.30%
2020,Prince Edward Island,Share of Canadian Export,0.30%
2021,Prince Edward Island,Share of Canadian Export,0.30%
2022,Prince Edward Island,Share of Canadian Export,0.30%
2023,Prince Edward Island,Share of Canadian Export,0.30%
1988,Newfoundland and Labrador,Share of Canadian Export,1.40%
1989,Newfoundland and Labrador,Share of Canadian Export,1.40%
1990,Newfoundland and Labrador,Share of Canadian Export,1.30%
1991,Newfoundland and Labrador,Share of Canadian Export,1.10%
1992,Newfoundland and Labrador,Share of Canadian Export,0.80%
1993,Newfoundland and Labrador,Share of Canadian Export,1.00%
1994,Newfoundland and Labrador,Share of Canadian Export,0.70%
1995,Newfoundland and Labrador,Share of Canadian Export,0.80%
1996,Newfoundland and Labrador,Share of Canadian Export,0.90%
1997,Newfoundland and Labrador,Share of Canadian Export,0.90%
1998,Newfoundland and Labrador,Share of Canadian Export,0.90%
1999,Newfoundland and Labrador,Share of Canadian Export,0.90%
2000,Newfoundland and Labrador,Share of Canadian Export,1.00%
2001,Newfoundland and Labrador,Share of Canadian Export,0.90%
2002,Newfoundland and Labrador,Share of Canadian Export,1.50%
2003,Newfoundland and Labrador,Share of Canadian Export,1.30%
2004,Newfoundland and Labrador,Share of Canadian Export,1.80%
2005,Newfoundland and Labrador,Share of Canadian Export,2.00%
2006,Newfoundland and Labrador,Share of Canadian Export,2.30%
2007,Newfoundland and Labrador,Share of Canadian Export,2.80%
2008,Newfoundland and Labrador,Share of Canadian Export,3.30%
2009,Newfoundland and Labrador,Share of Canadian Export,2.60%
2010,Newfoundland and Labrador,Share of Canadian Export,2.50%
2011,Newfoundland and Labrador,Share of Canadian Export,2.90%
2012,Newfoundland and Labrador,Share of Canadian Export,2.70%
2013,Newfoundland and Labrador,Share of Canadian Export,2.70%
2014,Newfoundland and Labrador,Share of Canadian Export,2.70%
2015,Newfoundland and Labrador,Share of Canadian Export,1.90%
2016,Newfoundland and Labrador,Share of Canadian Export,1.80%
2017,Newfoundland and Labrador,Share of Canadian Export,2.00%
2018,Newfoundland and Labrador,Share of Canadian Export,2.50%
2019,Newfoundland and Labrador,Share of Canadian Export,2.70%
2020,Newfoundland and Labrador,Share of Canadian Export,2.20%
2021,Newfoundland and Labrador,Share of Canadian Export,2.50%
2022,Newfoundland and Labrador,Share of Canadian Export,2.20%
2023,Newfoundland and Labrador,Share of Canadian Export,1.70%
1988,Canada,Share of Canadian Export,100.00%
1989,Canada,Share of Canadian Export,100.00%
1990,Canada,Share of Canadian Export,100.00%
1991,Canada,Share of Canadian Export,100.00%
1992,Canada,Share of Canadian Export,100.00%
1993,Canada,Share of Canadian Export,100.00%
1994,Canada,Share of Canadian Export,100.00%
1995,Canada,Share of Canadian Export,100.00%
1996,Canada,Share of Canadian Export,100.00%
1997,Canada,Share of Canadian Export,100.00%
1998,Canada,Share of Canadian Export,100.00%
1999,Canada,Share of Canadian Export,100.00%
2000,Canada,Share of Canadian Export,100.00%
2001,Canada,Share of Canadian Export,100.00%
2002,Canada,Share of Canadian Export,100.00%
2003,Canada,Share of Canadian Export,100.00%
2004,Canada,Share of Canadian Export,100.00%
2005,Canada,Share of Canadian Export,100.00%
2006,Canada,Share of Canadian Export,100.00%
2007,Canada,Share of Canadian Export,100.00%
2008,Canada,Share of Canadian Export,100.00%
2009,Canada,Share of Canadian Export,100.00%
2010,Canada,Share of Canadian Export,100.00%
2011,Canada,Share of Canadian Export,100.00%
2012,Canada,Share of Canadian Export,100.00%
2013,Canada,Share of Canadian Export,100.00%
2014,Canada,Share of Canadian Export,100.00%
2015,Canada,Share of Canadian Export,100.00%
2016,Canada,Share of Canadian Export,100.00%
2017,Canada,Share of Canadian Export,100.00%
2018,Canada,Share of Canadian Export,100.00%
2019,Canada,Share of Canadian Export,100.00%
2020,Canada,Share of Canadian Export,100.00%
2021,Canada,Share of Canadian Export,100.00%
2022,Canada,Share of Canadian Export,100.00%
2023,Canada,Share of Canadian Export,100.00%
