"Year","GEO","Income_concept","UOM","VALUE"
1989,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.264
1989,"Prince Edward Island","Adjusted market income","Number",0.409
1989,"Prince Edward Island","Adjusted total income","Number",0.293
1989,"Prince Edward Island","Adjusted after-tax income","Number",0.26
1989,"Nova Scotia","Adjusted market income","Number",0.411
1989,"Nova Scotia","Adjusted total income","Number",0.312
1989,"Nova Scotia","Adjusted after-tax income","Number",0.274
1989,"New Brunswick","Adjusted market income","Number",0.414
1989,"New Brunswick","Adjusted total income","Number",0.3
1989,"New Brunswick","Adjusted after-tax income","Number",0.265
1989,"Quebec","Adjusted market income","Number",0.398
1989,"Quebec","Adjusted total income","Number",0.308
1989,"Quebec","Adjusted after-tax income","Number",0.266
1989,"Ontario","Adjusted market income","Number",0.367
1989,"Ontario","Adjusted total income","Number",0.313
1989,"Ontario","Adjusted after-tax income","Number",0.278
1989,"Prairie provinces","Adjusted market income","Number",0.389
1989,"Prairie provinces","Adjusted total income","Number",0.322
1989,"Prairie provinces","Adjusted after-tax income","Number",0.285
1989,"Manitoba","Adjusted market income","Number",0.398
1989,"Manitoba","Adjusted total income","Number",0.318
1989,"Manitoba","Adjusted after-tax income","Number",0.275
1989,"Saskatchewan","Adjusted market income","Number",0.409
1989,"Saskatchewan","Adjusted total income","Number",0.328
1989,"Saskatchewan","Adjusted after-tax income","Number",0.288
1989,"Alberta","Adjusted market income","Number",0.373
1989,"Alberta","Adjusted total income","Number",0.318
1989,"Alberta","Adjusted after-tax income","Number",0.284
1989,"British Columbia","Adjusted market income","Number",0.362
1989,"British Columbia","Adjusted total income","Number",0.302
1989,"British Columbia","Adjusted after-tax income","Number",0.27
1990,"Canada","Adjusted market income","Number",0.403
1990,"Canada","Adjusted total income","Number",0.326
1990,"Canada","Adjusted after-tax income","Number",0.286
1990,"Atlantic provinces","Adjusted market income","Number",0.432
1990,"Atlantic provinces","Adjusted total income","Number",0.311
1990,"Atlantic provinces","Adjusted after-tax income","Number",0.272
1990,"Newfoundland and Labrador","Adjusted market income","Number",0.473
1990,"Newfoundland and Labrador","Adjusted total income","Number",0.318
1990,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.278
1990,"Prince Edward Island","Adjusted market income","Number",0.415
1990,"Prince Edward Island","Adjusted total income","Number",0.292
1990,"Prince Edward Island","Adjusted after-tax income","Number",0.257
1990,"Nova Scotia","Adjusted market income","Number",0.411
1990,"Nova Scotia","Adjusted total income","Number",0.308
1990,"Nova Scotia","Adjusted after-tax income","Number",0.27
1990,"New Brunswick","Adjusted market income","Number",0.423
1990,"New Brunswick","Adjusted total income","Number",0.307
1990,"New Brunswick","Adjusted after-tax income","Number",0.269
1990,"Quebec","Adjusted market income","Number",0.415
1990,"Quebec","Adjusted total income","Number",0.316
1990,"Quebec","Adjusted after-tax income","Number",0.269
1990,"Ontario","Adjusted market income","Number",0.379
1990,"Ontario","Adjusted total income","Number",0.319
1990,"Ontario","Adjusted after-tax income","Number",0.28
1990,"Prairie provinces","Adjusted market income","Number",0.403
1990,"Prairie provinces","Adjusted total income","Number",0.333
1990,"Prairie provinces","Adjusted after-tax income","Number",0.293
1990,"Manitoba","Adjusted market income","Number",0.402
1990,"Manitoba","Adjusted total income","Number",0.322
1990,"Manitoba","Adjusted after-tax income","Number",0.279
1990,"Saskatchewan","Adjusted market income","Number",0.434
1990,"Saskatchewan","Adjusted total income","Number",0.35
1990,"Saskatchewan","Adjusted after-tax income","Number",0.306
1990,"Alberta","Adjusted market income","Number",0.388
1990,"Alberta","Adjusted total income","Number",0.327
1990,"Alberta","Adjusted after-tax income","Number",0.289
1990,"British Columbia","Adjusted market income","Number",0.395
1990,"British Columbia","Adjusted total income","Number",0.328
1990,"British Columbia","Adjusted after-tax income","Number",0.29
1991,"Canada","Adjusted market income","Number",0.422
1991,"Canada","Adjusted total income","Number",0.334
1991,"Canada","Adjusted after-tax income","Number",0.292
1991,"Atlantic provinces","Adjusted market income","Number",0.449
1991,"Atlantic provinces","Adjusted total income","Number",0.315
1991,"Atlantic provinces","Adjusted after-tax income","Number",0.275
1991,"Newfoundland and Labrador","Adjusted market income","Number",0.494
1991,"Newfoundland and Labrador","Adjusted total income","Number",0.325
1991,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.282
1991,"Prince Edward Island","Adjusted market income","Number",0.433
1991,"Prince Edward Island","Adjusted total income","Number",0.296
1991,"Prince Edward Island","Adjusted after-tax income","Number",0.259
1991,"Nova Scotia","Adjusted market income","Number",0.422
1991,"Nova Scotia","Adjusted total income","Number",0.31
1991,"Nova Scotia","Adjusted after-tax income","Number",0.271
1991,"New Brunswick","Adjusted market income","Number",0.445
1991,"New Brunswick","Adjusted total income","Number",0.314
1991,"New Brunswick","Adjusted after-tax income","Number",0.274
1991,"Quebec","Adjusted market income","Number",0.436
1991,"Quebec","Adjusted total income","Number",0.326
1991,"Quebec","Adjusted after-tax income","Number",0.278
1991,"Ontario","Adjusted market income","Number",0.409
1991,"Ontario","Adjusted total income","Number",0.333
1991,"Ontario","Adjusted after-tax income","Number",0.291
1991,"Prairie provinces","Adjusted market income","Number",0.418
1991,"Prairie provinces","Adjusted total income","Number",0.343
1991,"Prairie provinces","Adjusted after-tax income","Number",0.301
1991,"Manitoba","Adjusted market income","Number",0.422
1991,"Manitoba","Adjusted total income","Number",0.33
1991,"Manitoba","Adjusted after-tax income","Number",0.287
1991,"Saskatchewan","Adjusted market income","Number",0.43
1991,"Saskatchewan","Adjusted total income","Number",0.339
1991,"Saskatchewan","Adjusted after-tax income","Number",0.296
1991,"Alberta","Adjusted market income","Number",0.405
1991,"Alberta","Adjusted total income","Number",0.342
1991,"Alberta","Adjusted after-tax income","Number",0.301
1991,"British Columbia","Adjusted market income","Number",0.392
1991,"British Columbia","Adjusted total income","Number",0.318
1991,"British Columbia","Adjusted after-tax income","Number",0.283
1992,"Canada","Adjusted market income","Number",0.429
1992,"Canada","Adjusted total income","Number",0.334
1992,"Canada","Adjusted after-tax income","Number",0.291
1992,"Atlantic provinces","Adjusted market income","Number",0.457
1992,"Atlantic provinces","Adjusted total income","Number",0.319
1992,"Atlantic provinces","Adjusted after-tax income","Number",0.28
1992,"Newfoundland and Labrador","Adjusted market income","Number",0.512
1992,"Newfoundland and Labrador","Adjusted total income","Number",0.333
1992,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.294
1992,"Prince Edward Island","Adjusted market income","Number",0.42
1992,"Prince Edward Island","Adjusted total income","Number",0.287
1992,"Prince Edward Island","Adjusted after-tax income","Number",0.253
1992,"Nova Scotia","Adjusted market income","Number",0.437
1992,"Nova Scotia","Adjusted total income","Number",0.318
1992,"Nova Scotia","Adjusted after-tax income","Number",0.278
1992,"New Brunswick","Adjusted market income","Number",0.442
1992,"New Brunswick","Adjusted total income","Number",0.312
1992,"New Brunswick","Adjusted after-tax income","Number",0.274
1992,"Quebec","Adjusted market income","Number",0.433
1992,"Quebec","Adjusted total income","Number",0.318
1992,"Quebec","Adjusted after-tax income","Number",0.27
1992,"Ontario","Adjusted market income","Number",0.414
1992,"Ontario","Adjusted total income","Number",0.33
1992,"Ontario","Adjusted after-tax income","Number",0.287
1992,"Prairie provinces","Adjusted market income","Number",0.432
1992,"Prairie provinces","Adjusted total income","Number",0.347
1992,"Prairie provinces","Adjusted after-tax income","Number",0.307
1992,"Manitoba","Adjusted market income","Number",0.434
1992,"Manitoba","Adjusted total income","Number",0.332
1992,"Manitoba","Adjusted after-tax income","Number",0.288
1992,"Saskatchewan","Adjusted market income","Number",0.443
1992,"Saskatchewan","Adjusted total income","Number",0.35
1992,"Saskatchewan","Adjusted after-tax income","Number",0.308
1992,"Alberta","Adjusted market income","Number",0.425
1992,"Alberta","Adjusted total income","Number",0.35
1992,"Alberta","Adjusted after-tax income","Number",0.312
1992,"British Columbia","Adjusted market income","Number",0.411
1992,"British Columbia","Adjusted total income","Number",0.334
1992,"British Columbia","Adjusted after-tax income","Number",0.295
1993,"Canada","Adjusted market income","Number",0.429
1993,"Canada","Adjusted total income","Number",0.329
1993,"Canada","Adjusted after-tax income","Number",0.289
1993,"Atlantic provinces","Adjusted market income","Number",0.453
1993,"Atlantic provinces","Adjusted total income","Number",0.306
1993,"Atlantic provinces","Adjusted after-tax income","Number",0.27
1993,"Newfoundland and Labrador","Adjusted market income","Number",0.493
1993,"Newfoundland and Labrador","Adjusted total income","Number",0.307
1993,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.271
1993,"Prince Edward Island","Adjusted market income","Number",0.418
1993,"Prince Edward Island","Adjusted total income","Number",0.272
1993,"Prince Edward Island","Adjusted after-tax income","Number",0.24
1993,"Nova Scotia","Adjusted market income","Number",0.443
1993,"Nova Scotia","Adjusted total income","Number",0.312
1993,"Nova Scotia","Adjusted after-tax income","Number",0.275
1993,"New Brunswick","Adjusted market income","Number",0.436
1993,"New Brunswick","Adjusted total income","Number",0.3
1993,"New Brunswick","Adjusted after-tax income","Number",0.266
1993,"Quebec","Adjusted market income","Number",0.443
1993,"Quebec","Adjusted total income","Number",0.322
1993,"Quebec","Adjusted after-tax income","Number",0.274
1993,"Ontario","Adjusted market income","Number",0.421
1993,"Ontario","Adjusted total income","Number",0.331
1993,"Ontario","Adjusted after-tax income","Number",0.291
1993,"Prairie provinces","Adjusted market income","Number",0.411
1993,"Prairie provinces","Adjusted total income","Number",0.326
1993,"Prairie provinces","Adjusted after-tax income","Number",0.29
1993,"Manitoba","Adjusted market income","Number",0.412
1993,"Manitoba","Adjusted total income","Number",0.313
1993,"Manitoba","Adjusted after-tax income","Number",0.274
1993,"Saskatchewan","Adjusted market income","Number",0.436
1993,"Saskatchewan","Adjusted total income","Number",0.334
1993,"Saskatchewan","Adjusted after-tax income","Number",0.293
1993,"Alberta","Adjusted market income","Number",0.397
1993,"Alberta","Adjusted total income","Number",0.323
1993,"Alberta","Adjusted after-tax income","Number",0.29
1993,"British Columbia","Adjusted market income","Number",0.403
1993,"British Columbia","Adjusted total income","Number",0.32
1993,"British Columbia","Adjusted after-tax income","Number",0.285
1994,"Canada","Adjusted market income","Number",0.432
1994,"Canada","Adjusted total income","Number",0.333
1994,"Canada","Adjusted after-tax income","Number",0.29
1994,"Atlantic provinces","Adjusted market income","Number",0.448
1994,"Atlantic provinces","Adjusted total income","Number",0.312
1994,"Atlantic provinces","Adjusted after-tax income","Number",0.275
1994,"Newfoundland and Labrador","Adjusted market income","Number",0.475
1994,"Newfoundland and Labrador","Adjusted total income","Number",0.315
1994,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.275
1994,"Prince Edward Island","Adjusted market income","Number",0.403
1994,"Prince Edward Island","Adjusted total income","Number",0.269
1994,"Prince Edward Island","Adjusted after-tax income","Number",0.238
1994,"Nova Scotia","Adjusted market income","Number",0.442
1994,"Nova Scotia","Adjusted total income","Number",0.317
1994,"Nova Scotia","Adjusted after-tax income","Number",0.28
1994,"New Brunswick","Adjusted market income","Number",0.441
1994,"New Brunswick","Adjusted total income","Number",0.308
1994,"New Brunswick","Adjusted after-tax income","Number",0.272
1994,"Quebec","Adjusted market income","Number",0.448
1994,"Quebec","Adjusted total income","Number",0.331
1994,"Quebec","Adjusted after-tax income","Number",0.278
1994,"Ontario","Adjusted market income","Number",0.426
1994,"Ontario","Adjusted total income","Number",0.335
1994,"Ontario","Adjusted after-tax income","Number",0.292
1994,"Prairie provinces","Adjusted market income","Number",0.41
1994,"Prairie provinces","Adjusted total income","Number",0.328
1994,"Prairie provinces","Adjusted after-tax income","Number",0.29
1994,"Manitoba","Adjusted market income","Number",0.423
1994,"Manitoba","Adjusted total income","Number",0.325
1994,"Manitoba","Adjusted after-tax income","Number",0.282
1994,"Saskatchewan","Adjusted market income","Number",0.43
1994,"Saskatchewan","Adjusted total income","Number",0.326
1994,"Saskatchewan","Adjusted after-tax income","Number",0.285
1994,"Alberta","Adjusted market income","Number",0.394
1994,"Alberta","Adjusted total income","Number",0.326
1994,"Alberta","Adjusted after-tax income","Number",0.291
1994,"British Columbia","Adjusted market income","Number",0.405
1994,"British Columbia","Adjusted total income","Number",0.318
1994,"British Columbia","Adjusted after-tax income","Number",0.282
1995,"Canada","Adjusted market income","Number",0.43
1995,"Canada","Adjusted total income","Number",0.336
1995,"Canada","Adjusted after-tax income","Number",0.293
1995,"Atlantic provinces","Adjusted market income","Number",0.45
1995,"Atlantic provinces","Adjusted total income","Number",0.312
1995,"Atlantic provinces","Adjusted after-tax income","Number",0.275
1995,"Newfoundland and Labrador","Adjusted market income","Number",0.486
1995,"Newfoundland and Labrador","Adjusted total income","Number",0.322
1995,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.285
1995,"Prince Edward Island","Adjusted market income","Number",0.406
1995,"Prince Edward Island","Adjusted total income","Number",0.276
1995,"Prince Edward Island","Adjusted after-tax income","Number",0.244
1995,"Nova Scotia","Adjusted market income","Number",0.437
1995,"Nova Scotia","Adjusted total income","Number",0.311
1995,"Nova Scotia","Adjusted after-tax income","Number",0.272
1995,"New Brunswick","Adjusted market income","Number",0.444
1995,"New Brunswick","Adjusted total income","Number",0.311
1995,"New Brunswick","Adjusted after-tax income","Number",0.274
1995,"Quebec","Adjusted market income","Number",0.446
1995,"Quebec","Adjusted total income","Number",0.333
1995,"Quebec","Adjusted after-tax income","Number",0.28
1995,"Ontario","Adjusted market income","Number",0.423
1995,"Ontario","Adjusted total income","Number",0.338
1995,"Ontario","Adjusted after-tax income","Number",0.294
1995,"Prairie provinces","Adjusted market income","Number",0.408
1995,"Prairie provinces","Adjusted total income","Number",0.331
1995,"Prairie provinces","Adjusted after-tax income","Number",0.292
1995,"Manitoba","Adjusted market income","Number",0.41
1995,"Manitoba","Adjusted total income","Number",0.317
1995,"Manitoba","Adjusted after-tax income","Number",0.276
1995,"Saskatchewan","Adjusted market income","Number",0.43
1995,"Saskatchewan","Adjusted total income","Number",0.339
1995,"Saskatchewan","Adjusted after-tax income","Number",0.293
1995,"Alberta","Adjusted market income","Number",0.397
1995,"Alberta","Adjusted total income","Number",0.331
1995,"Alberta","Adjusted after-tax income","Number",0.294
1995,"British Columbia","Adjusted market income","Number",0.404
1995,"British Columbia","Adjusted total income","Number",0.324
1995,"British Columbia","Adjusted after-tax income","Number",0.289
1996,"Canada","Adjusted market income","Number",0.439
1996,"Canada","Adjusted total income","Number",0.346
1996,"Canada","Adjusted after-tax income","Number",0.301
1996,"Atlantic provinces","Adjusted market income","Number",0.448
1996,"Atlantic provinces","Adjusted total income","Number",0.313
1996,"Atlantic provinces","Adjusted after-tax income","Number",0.276
1996,"Newfoundland and Labrador","Adjusted market income","Number",0.483
1996,"Newfoundland and Labrador","Adjusted total income","Number",0.316
1996,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.277
1996,"Prince Edward Island","Adjusted market income","Number",0.402
1996,"Prince Edward Island","Adjusted total income","Number",0.279
1996,"Prince Edward Island","Adjusted after-tax income","Number",0.248
1996,"Nova Scotia","Adjusted market income","Number",0.44
1996,"Nova Scotia","Adjusted total income","Number",0.314
1996,"Nova Scotia","Adjusted after-tax income","Number",0.278
1996,"New Brunswick","Adjusted market income","Number",0.439
1996,"New Brunswick","Adjusted total income","Number",0.312
1996,"New Brunswick","Adjusted after-tax income","Number",0.274
1996,"Quebec","Adjusted market income","Number",0.454
1996,"Quebec","Adjusted total income","Number",0.343
1996,"Quebec","Adjusted after-tax income","Number",0.29
1996,"Ontario","Adjusted market income","Number",0.434
1996,"Ontario","Adjusted total income","Number",0.35
1996,"Ontario","Adjusted after-tax income","Number",0.305
1996,"Prairie provinces","Adjusted market income","Number",0.413
1996,"Prairie provinces","Adjusted total income","Number",0.335
1996,"Prairie provinces","Adjusted after-tax income","Number",0.295
1996,"Manitoba","Adjusted market income","Number",0.416
1996,"Manitoba","Adjusted total income","Number",0.322
1996,"Manitoba","Adjusted after-tax income","Number",0.281
1996,"Saskatchewan","Adjusted market income","Number",0.427
1996,"Saskatchewan","Adjusted total income","Number",0.33
1996,"Saskatchewan","Adjusted after-tax income","Number",0.285
1996,"Alberta","Adjusted market income","Number",0.405
1996,"Alberta","Adjusted total income","Number",0.339
1996,"Alberta","Adjusted after-tax income","Number",0.3
1996,"British Columbia","Adjusted market income","Number",0.421
1996,"British Columbia","Adjusted total income","Number",0.339
1996,"British Columbia","Adjusted after-tax income","Number",0.298
1997,"Canada","Adjusted market income","Number",0.438
1997,"Canada","Adjusted total income","Number",0.348
1997,"Canada","Adjusted after-tax income","Number",0.304
1997,"Atlantic provinces","Adjusted market income","Number",0.451
1997,"Atlantic provinces","Adjusted total income","Number",0.319
1997,"Atlantic provinces","Adjusted after-tax income","Number",0.28
1997,"Newfoundland and Labrador","Adjusted market income","Number",0.478
1997,"Newfoundland and Labrador","Adjusted total income","Number",0.311
1997,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.271
1997,"Prince Edward Island","Adjusted market income","Number",0.408
1997,"Prince Edward Island","Adjusted total income","Number",0.28
1997,"Prince Edward Island","Adjusted after-tax income","Number",0.25
1997,"Nova Scotia","Adjusted market income","Number",0.445
1997,"Nova Scotia","Adjusted total income","Number",0.328
1997,"Nova Scotia","Adjusted after-tax income","Number",0.288
1997,"New Brunswick","Adjusted market income","Number",0.441
1997,"New Brunswick","Adjusted total income","Number",0.315
1997,"New Brunswick","Adjusted after-tax income","Number",0.278
1997,"Quebec","Adjusted market income","Number",0.454
1997,"Quebec","Adjusted total income","Number",0.342
1997,"Quebec","Adjusted after-tax income","Number",0.29
1997,"Ontario","Adjusted market income","Number",0.431
1997,"Ontario","Adjusted total income","Number",0.349
1997,"Ontario","Adjusted after-tax income","Number",0.305
1997,"Prairie provinces","Adjusted market income","Number",0.418
1997,"Prairie provinces","Adjusted total income","Number",0.344
1997,"Prairie provinces","Adjusted after-tax income","Number",0.3
1997,"Manitoba","Adjusted market income","Number",0.412
1997,"Manitoba","Adjusted total income","Number",0.319
1997,"Manitoba","Adjusted after-tax income","Number",0.279
1997,"Saskatchewan","Adjusted market income","Number",0.425
1997,"Saskatchewan","Adjusted total income","Number",0.327
1997,"Saskatchewan","Adjusted after-tax income","Number",0.28
1997,"Alberta","Adjusted market income","Number",0.412
1997,"Alberta","Adjusted total income","Number",0.353
1997,"Alberta","Adjusted after-tax income","Number",0.308
1997,"British Columbia","Adjusted market income","Number",0.42
1997,"British Columbia","Adjusted total income","Number",0.34
1997,"British Columbia","Adjusted after-tax income","Number",0.302
1998,"Canada","Adjusted market income","Number",0.446
1998,"Canada","Adjusted total income","Number",0.356
1998,"Canada","Adjusted after-tax income","Number",0.311
1998,"Atlantic provinces","Adjusted market income","Number",0.458
1998,"Atlantic provinces","Adjusted total income","Number",0.333
1998,"Atlantic provinces","Adjusted after-tax income","Number",0.291
1998,"Newfoundland and Labrador","Adjusted market income","Number",0.491
1998,"Newfoundland and Labrador","Adjusted total income","Number",0.337
1998,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.292
1998,"Prince Edward Island","Adjusted market income","Number",0.422
1998,"Prince Edward Island","Adjusted total income","Number",0.301
1998,"Prince Edward Island","Adjusted after-tax income","Number",0.26
1998,"Nova Scotia","Adjusted market income","Number",0.451
1998,"Nova Scotia","Adjusted total income","Number",0.337
1998,"Nova Scotia","Adjusted after-tax income","Number",0.297
1998,"New Brunswick","Adjusted market income","Number",0.445
1998,"New Brunswick","Adjusted total income","Number",0.328
1998,"New Brunswick","Adjusted after-tax income","Number",0.285
1998,"Quebec","Adjusted market income","Number",0.462
1998,"Quebec","Adjusted total income","Number",0.349
1998,"Quebec","Adjusted after-tax income","Number",0.295
1998,"Ontario","Adjusted market income","Number",0.437
1998,"Ontario","Adjusted total income","Number",0.357
1998,"Ontario","Adjusted after-tax income","Number",0.311
1998,"Prairie provinces","Adjusted market income","Number",0.437
1998,"Prairie provinces","Adjusted total income","Number",0.362
1998,"Prairie provinces","Adjusted after-tax income","Number",0.317
1998,"Manitoba","Adjusted market income","Number",0.432
1998,"Manitoba","Adjusted total income","Number",0.341
1998,"Manitoba","Adjusted after-tax income","Number",0.296
1998,"Saskatchewan","Adjusted market income","Number",0.441
1998,"Saskatchewan","Adjusted total income","Number",0.342
1998,"Saskatchewan","Adjusted after-tax income","Number",0.295
1998,"Alberta","Adjusted market income","Number",0.432
1998,"Alberta","Adjusted total income","Number",0.37
1998,"Alberta","Adjusted after-tax income","Number",0.325
1998,"British Columbia","Adjusted market income","Number",0.423
1998,"British Columbia","Adjusted total income","Number",0.343
1998,"British Columbia","Adjusted after-tax income","Number",0.304
1999,"Canada","Adjusted market income","Number",0.437
1999,"Canada","Adjusted total income","Number",0.356
1999,"Canada","Adjusted after-tax income","Number",0.31
1999,"Atlantic provinces","Adjusted market income","Number",0.45
1999,"Atlantic provinces","Adjusted total income","Number",0.333
1999,"Atlantic provinces","Adjusted after-tax income","Number",0.29
1999,"Newfoundland and Labrador","Adjusted market income","Number",0.503
1999,"Newfoundland and Labrador","Adjusted total income","Number",0.35
1999,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.301
1999,"Prince Edward Island","Adjusted market income","Number",0.442
1999,"Prince Edward Island","Adjusted total income","Number",0.32
1999,"Prince Edward Island","Adjusted after-tax income","Number",0.283
1999,"Nova Scotia","Adjusted market income","Number",0.43
1999,"Nova Scotia","Adjusted total income","Number",0.329
1999,"Nova Scotia","Adjusted after-tax income","Number",0.289
1999,"New Brunswick","Adjusted market income","Number",0.435
1999,"New Brunswick","Adjusted total income","Number",0.325
1999,"New Brunswick","Adjusted after-tax income","Number",0.283
1999,"Quebec","Adjusted market income","Number",0.441
1999,"Quebec","Adjusted total income","Number",0.339
1999,"Quebec","Adjusted after-tax income","Number",0.284
1999,"Ontario","Adjusted market income","Number",0.435
1999,"Ontario","Adjusted total income","Number",0.366
1999,"Ontario","Adjusted after-tax income","Number",0.318
1999,"Prairie provinces","Adjusted market income","Number",0.411
1999,"Prairie provinces","Adjusted total income","Number",0.34
1999,"Prairie provinces","Adjusted after-tax income","Number",0.298
1999,"Manitoba","Adjusted market income","Number",0.41
1999,"Manitoba","Adjusted total income","Number",0.327
1999,"Manitoba","Adjusted after-tax income","Number",0.287
1999,"Saskatchewan","Adjusted market income","Number",0.415
1999,"Saskatchewan","Adjusted total income","Number",0.325
1999,"Saskatchewan","Adjusted after-tax income","Number",0.283
1999,"Alberta","Adjusted market income","Number",0.406
1999,"Alberta","Adjusted total income","Number",0.345
1999,"Alberta","Adjusted after-tax income","Number",0.303
1999,"British Columbia","Adjusted market income","Number",0.429
1999,"British Columbia","Adjusted total income","Number",0.353
1999,"British Columbia","Adjusted after-tax income","Number",0.312
2000,"Canada","Adjusted market income","Number",0.439
2000,"Canada","Adjusted total income","Number",0.362
2000,"Canada","Adjusted after-tax income","Number",0.317
2000,"Atlantic provinces","Adjusted market income","Number",0.453
2000,"Atlantic provinces","Adjusted total income","Number",0.338
2000,"Atlantic provinces","Adjusted after-tax income","Number",0.295
2000,"Newfoundland and Labrador","Adjusted market income","Number",0.501
2000,"Newfoundland and Labrador","Adjusted total income","Number",0.348
2000,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.302
2000,"Prince Edward Island","Adjusted market income","Number",0.438
2000,"Prince Edward Island","Adjusted total income","Number",0.327
2000,"Prince Edward Island","Adjusted after-tax income","Number",0.285
2000,"Nova Scotia","Adjusted market income","Number",0.438
2000,"Nova Scotia","Adjusted total income","Number",0.336
2000,"Nova Scotia","Adjusted after-tax income","Number",0.295
2000,"New Brunswick","Adjusted market income","Number",0.438
2000,"New Brunswick","Adjusted total income","Number",0.333
2000,"New Brunswick","Adjusted after-tax income","Number",0.291
2000,"Quebec","Adjusted market income","Number",0.443
2000,"Quebec","Adjusted total income","Number",0.348
2000,"Quebec","Adjusted after-tax income","Number",0.294
2000,"Ontario","Adjusted market income","Number",0.437
2000,"Ontario","Adjusted total income","Number",0.372
2000,"Ontario","Adjusted after-tax income","Number",0.325
2000,"Prairie provinces","Adjusted market income","Number",0.417
2000,"Prairie provinces","Adjusted total income","Number",0.348
2000,"Prairie provinces","Adjusted after-tax income","Number",0.308
2000,"Manitoba","Adjusted market income","Number",0.411
2000,"Manitoba","Adjusted total income","Number",0.331
2000,"Manitoba","Adjusted after-tax income","Number",0.29
2000,"Saskatchewan","Adjusted market income","Number",0.426
2000,"Saskatchewan","Adjusted total income","Number",0.337
2000,"Saskatchewan","Adjusted after-tax income","Number",0.295
2000,"Alberta","Adjusted market income","Number",0.411
2000,"Alberta","Adjusted total income","Number",0.351
2000,"Alberta","Adjusted after-tax income","Number",0.312
2000,"British Columbia","Adjusted market income","Number",0.427
2000,"British Columbia","Adjusted total income","Number",0.353
2000,"British Columbia","Adjusted after-tax income","Number",0.312
2001,"Canada","Adjusted market income","Number",0.44
2001,"Canada","Adjusted total income","Number",0.36
2001,"Canada","Adjusted after-tax income","Number",0.318
2001,"Atlantic provinces","Adjusted market income","Number",0.455
2001,"Atlantic provinces","Adjusted total income","Number",0.335
2001,"Atlantic provinces","Adjusted after-tax income","Number",0.293
2001,"Newfoundland and Labrador","Adjusted market income","Number",0.497
2001,"Newfoundland and Labrador","Adjusted total income","Number",0.334
2001,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.29
2001,"Prince Edward Island","Adjusted market income","Number",0.43
2001,"Prince Edward Island","Adjusted total income","Number",0.315
2001,"Prince Edward Island","Adjusted after-tax income","Number",0.277
2001,"Nova Scotia","Adjusted market income","Number",0.441
2001,"Nova Scotia","Adjusted total income","Number",0.339
2001,"Nova Scotia","Adjusted after-tax income","Number",0.298
2001,"New Brunswick","Adjusted market income","Number",0.443
2001,"New Brunswick","Adjusted total income","Number",0.331
2001,"New Brunswick","Adjusted after-tax income","Number",0.29
2001,"Quebec","Adjusted market income","Number",0.45
2001,"Quebec","Adjusted total income","Number",0.35
2001,"Quebec","Adjusted after-tax income","Number",0.298
2001,"Ontario","Adjusted market income","Number",0.434
2001,"Ontario","Adjusted total income","Number",0.365
2001,"Ontario","Adjusted after-tax income","Number",0.321
2001,"Prairie provinces","Adjusted market income","Number",0.413
2001,"Prairie provinces","Adjusted total income","Number",0.345
2001,"Prairie provinces","Adjusted after-tax income","Number",0.309
2001,"Manitoba","Adjusted market income","Number",0.41
2001,"Manitoba","Adjusted total income","Number",0.329
2001,"Manitoba","Adjusted after-tax income","Number",0.291
2001,"Saskatchewan","Adjusted market income","Number",0.425
2001,"Saskatchewan","Adjusted total income","Number",0.335
2001,"Saskatchewan","Adjusted after-tax income","Number",0.296
2001,"Alberta","Adjusted market income","Number",0.404
2001,"Alberta","Adjusted total income","Number",0.346
2001,"Alberta","Adjusted after-tax income","Number",0.311
2001,"British Columbia","Adjusted market income","Number",0.439
2001,"British Columbia","Adjusted total income","Number",0.366
2001,"British Columbia","Adjusted after-tax income","Number",0.328
2002,"Canada","Adjusted market income","Number",0.439
2002,"Canada","Adjusted total income","Number",0.36
2002,"Canada","Adjusted after-tax income","Number",0.318
2002,"Atlantic provinces","Adjusted market income","Number",0.458
2002,"Atlantic provinces","Adjusted total income","Number",0.34
2002,"Atlantic provinces","Adjusted after-tax income","Number",0.299
2002,"Newfoundland and Labrador","Adjusted market income","Number",0.501
2002,"Newfoundland and Labrador","Adjusted total income","Number",0.346
2002,"Newfoundland and Labrador","Adjusted after-tax income","Number",0.305
2002,"Prince Edward Island","Adjusted market income","Number",0.443
2002,"Prince Edward Island","Adjusted total income","Number",0.322
2002,"Prince Edward Island","Adjusted after-tax income","Number",0.285
2002,"Nova Scotia","Adjusted market income","Number",0.442
2002,"Nova Scotia","Adjusted total income","Number",0.344
2002,"Nova Scotia","Adjusted after-tax income","Number",0.302
2002,"New Brunswick","Adjusted market income","Number",0.446
