"Year","Labour productivity and related measures","Industry","VALUE"
1998,"Annual average number of hours worked for all jobs","Information and communication sector",1900
1998,"Total compensation for all jobs","All industries",57181160
1998,"Total compensation for all jobs","Business sector industries",46203652
1998,"Total compensation for all jobs","Goods-producing businesses",18435387
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1438260
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",4675133
1998,"Total compensation for all jobs","Utilities [BS22]",763002
1998,"Total compensation for all jobs","Construction [BS23]",5826915
1998,"Total compensation for all jobs","Manufacturing [BS3A]",5732077
1998,"Total compensation for all jobs","Service-producing businesses",27768265
1998,"Total compensation for all jobs","Energy sector",5415332
1998,"Total compensation for all jobs","Information and communication sector",2184392
1998,"Nominal value added","All industries",103936004
1998,"Nominal value added","Business sector industries",82680234
1998,"Nominal value added","Goods-producing businesses",38985363
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",2659650
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",14989941
1998,"Nominal value added","Utilities [BS22]",2260133
1998,"Nominal value added","Construction [BS23]",7944227
1998,"Nominal value added","Manufacturing [BS3A]",11131412
1998,"Nominal value added","Service-producing businesses",43694871
1998,"Nominal value added","Energy sector",18612972
1998,"Nominal value added","Information and communication sector",3493757
1998,"Real value added","All industries",193130412
1998,"Real value added","Business sector industries",159667593
1998,"Real value added","Goods-producing businesses",98579764
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",4576448
1998,"Real value added","Mining and oil and gas extraction [BS21]",60674010
1998,"Real value added","Utilities [BS22]",2869679
1998,"Real value added","Construction [BS23]",13352324
1998,"Real value added","Manufacturing [BS3A]",18075809
1998,"Real value added","Service-producing businesses",61947827
1998,"Real value added","Energy sector",68971057
1998,"Real value added","Information and communication sector",3980962
1998,"Labour productivity","All industries",67.1
1998,"Labour productivity","Business sector industries",67
1998,"Labour productivity","Goods-producing businesses",114.8
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",23.3
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",402.6
1998,"Labour productivity","Utilities [BS22]",137.2
1998,"Labour productivity","Construction [BS23]",53.2
1998,"Labour productivity","Manufacturing [BS3A]",75.3
1998,"Labour productivity","Service-producing businesses",40.6
1998,"Labour productivity","Energy sector",413.8
1998,"Labour productivity","Information and communication sector",50.3
1998,"Total compensation per hour worked","All industries",19.87
1998,"Total compensation per hour worked","Business sector industries",19.38
1998,"Total compensation per hour worked","Goods-producing businesses",21.47
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",7.34
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",31.02
1998,"Total compensation per hour worked","Utilities [BS22]",36.49
1998,"Total compensation per hour worked","Construction [BS23]",23.22
1998,"Total compensation per hour worked","Manufacturing [BS3A]",23.88
1998,"Total compensation per hour worked","Service-producing businesses",18.2
1998,"Total compensation per hour worked","Energy sector",32.49
1998,"Total compensation per hour worked","Information and communication sector",27.6
1998,"Unit labour cost","All industries",0.296
1998,"Unit labour cost","Business sector industries",0.289
1998,"Unit labour cost","Goods-producing businesses",0.187
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.314
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.077
1998,"Unit labour cost","Utilities [BS22]",0.266
1998,"Unit labour cost","Construction [BS23]",0.436
1998,"Unit labour cost","Manufacturing [BS3A]",0.317
1998,"Unit labour cost","Service-producing businesses",0.448
1998,"Unit labour cost","Energy sector",0.079
1998,"Unit labour cost","Information and communication sector",0.549
1998,"Unit labour cost in US dollars","All industries",0.2
1998,"Unit labour cost in US dollars","Business sector industries",0.195
1998,"Unit labour cost in US dollars","Goods-producing businesses",0.126
1998,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.212
1998,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.052
1998,"Unit labour cost in US dollars","Utilities [BS22]",0.179
1998,"Unit labour cost in US dollars","Construction [BS23]",0.294
1998,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.214
1998,"Unit labour cost in US dollars","Service-producing businesses",0.302
1998,"Unit labour cost in US dollars","Energy sector",0.053
1998,"Unit labour cost in US dollars","Information and communication sector",0.37
1998,"Labour share","All industries",55
1998,"Labour share","Business sector industries",55.9
1998,"Labour share","Goods-producing businesses",47.3
1998,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",54.1
1998,"Labour share","Mining and oil and gas extraction [BS21]",31.2
1998,"Labour share","Utilities [BS22]",33.8
1998,"Labour share","Construction [BS23]",73.3
1998,"Labour share","Manufacturing [BS3A]",51.5
1998,"Labour share","Service-producing businesses",63.6
1998,"Labour share","Energy sector",29.1
1998,"Labour share","Information and communication sector",62.5
1998,"Total number of jobs","All industries",1889270
1998,"Total number of jobs","Business sector industries",1492415
1998,"Total number of jobs","Goods-producing businesses",394570
1998,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",71185
1998,"Total number of jobs","Mining and oil and gas extraction [BS21]",13480
1998,"Total number of jobs","Utilities [BS22]",10960
1998,"Total number of jobs","Construction [BS23]",123800
1998,"Total number of jobs","Manufacturing [BS3A]",175145
1998,"Total number of jobs","Service-producing businesses",1097845
1998,"Total number of jobs","Energy sector",19520
1998,"Total number of jobs","Information and communication sector",47020
1998,"Hours worked for all jobs","All industries",3266687
1998,"Hours worked for all jobs","Business sector industries",2622582.5
1998,"Hours worked for all jobs","Goods-producing businesses",752827.2
1998,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",135041
1998,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",28981.4
1998,"Hours worked for all jobs","Utilities [BS22]",19951.9
1998,"Hours worked for all jobs","Construction [BS23]",232827.5
1998,"Hours worked for all jobs","Manufacturing [BS3A]",336025.4
1998,"Hours worked for all jobs","Service-producing businesses",1869755.3
1998,"Hours worked for all jobs","Energy sector",37940.4
1998,"Hours worked for all jobs","Information and communication sector",86739.7
1998,"Annual average number of hours worked for all jobs","All industries",1729
1998,"Annual average number of hours worked for all jobs","Business sector industries",1757
1998,"Annual average number of hours worked for all jobs","Goods-producing businesses",1908
1998,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1897
1998,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2150
1998,"Annual average number of hours worked for all jobs","Utilities [BS22]",1820
1998,"Annual average number of hours worked for all jobs","Construction [BS23]",1881
1998,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1919
1998,"Annual average number of hours worked for all jobs","Service-producing businesses",1703
1998,"Annual average number of hours worked for all jobs","Energy sector",1944
1998,"Annual average number of hours worked for all jobs","Information and communication sector",1845
1998,"Total compensation for all jobs","All industries",68122166
1998,"Total compensation for all jobs","Business sector industries",51847397
1998,"Total compensation for all jobs","Goods-producing businesses",16961854
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",2134172
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",897766
1998,"Total compensation for all jobs","Utilities [BS22]",653270
1998,"Total compensation for all jobs","Construction [BS23]",5210015
1998,"Total compensation for all jobs","Manufacturing [BS3A]",8066631
1998,"Total compensation for all jobs","Service-producing businesses",34885543
1998,"Total compensation for all jobs","Energy sector",1280737
1998,"Total compensation for all jobs","Information and communication sector",2378859
1998,"Nominal value added","All industries",107843016
1998,"Nominal value added","Business sector industries",77048864
1998,"Nominal value added","Goods-producing businesses",25768121
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",4191440
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",2223711
1998,"Nominal value added","Utilities [BS22]",2329788
1998,"Nominal value added","Construction [BS23]",6204220
1998,"Nominal value added","Manufacturing [BS3A]",10818962
1998,"Nominal value added","Service-producing businesses",51280743
1998,"Nominal value added","Energy sector",4341039
1998,"Nominal value added","Information and communication sector",3853618
1998,"Real value added","All industries",142248432
1998,"Real value added","Business sector industries",101476334
1998,"Real value added","Goods-producing businesses",34181114
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",3839474
1998,"Real value added","Mining and oil and gas extraction [BS21]",7023875
1998,"Real value added","Utilities [BS22]",3187822
1998,"Real value added","Construction [BS23]",9124700
1998,"Real value added","Manufacturing [BS3A]",11097843
1998,"Real value added","Service-producing businesses",67111914
1998,"Real value added","Energy sector",8334282
1998,"Real value added","Information and communication sector",4046534
1998,"Labour productivity","All industries",43.5
1998,"Labour productivity","Business sector industries",38.7
1998,"Labour productivity","Goods-producing businesses",45.4
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",28.4
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",242.4
1998,"Labour productivity","Utilities [BS22]",159.8
1998,"Labour productivity","Construction [BS23]",39.2
1998,"Labour productivity","Manufacturing [BS3A]",33
1998,"Labour productivity","Service-producing businesses",35.9
1998,"Labour productivity","Energy sector",219.7
1998,"Labour productivity","Information and communication sector",46.7
1998,"Total compensation per hour worked","All industries",20.85
1998,"Total compensation per hour worked","Business sector industries",19.77
1998,"Total compensation per hour worked","Goods-producing businesses",22.53
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",15.8
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",30.98
1998,"Total compensation per hour worked","Utilities [BS22]",32.74
1998,"Total compensation per hour worked","Construction [BS23]",22.38
1998,"Total compensation per hour worked","Manufacturing [BS3A]",24.01
1998,"Total compensation per hour worked","Service-producing businesses",18.66
1998,"Total compensation per hour worked","Energy sector",33.76
1998,"Total compensation per hour worked","Information and communication sector",27.43
1998,"Unit labour cost","All industries",0.479
1998,"Unit labour cost","Business sector industries",0.511
1998,"Unit labour cost","Goods-producing businesses",0.496
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.556
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.128
1998,"Unit labour cost","Utilities [BS22]",0.205
1998,"Unit labour cost","Construction [BS23]",0.571
1998,"Unit labour cost","Manufacturing [BS3A]",0.727
1998,"Unit labour cost","Service-producing businesses",0.52
1998,"Unit labour cost","Energy sector",0.154
1998,"Unit labour cost","Information and communication sector",0.588
1998,"Unit labour cost in US dollars","All industries",0.323
1998,"Unit labour cost in US dollars","Business sector industries",0.345
1998,"Unit labour cost in US dollars","Goods-producing businesses",0.335
1998,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.375
1998,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.086
1998,"Unit labour cost in US dollars","Utilities [BS22]",0.138
1998,"Unit labour cost in US dollars","Construction [BS23]",0.385
1998,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.49
1998,"Unit labour cost in US dollars","Service-producing businesses",0.351
1998,"Unit labour cost in US dollars","Energy sector",0.104
1998,"Unit labour cost in US dollars","Information and communication sector",0.397
1998,"Labour share","All industries",63.2
1998,"Labour share","Business sector industries",67.3
1998,"Labour share","Goods-producing businesses",65.8
1998,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",50.9
1998,"Labour share","Mining and oil and gas extraction [BS21]",40.4
1998,"Labour share","Utilities [BS22]",28
1998,"Labour share","Construction [BS23]",84
1998,"Labour share","Manufacturing [BS3A]",74.6
1998,"Labour share","Service-producing businesses",68
1998,"Labour share","Energy sector",29.5
1998,"Labour share","Information and communication sector",61.7
1998,"Total number of jobs","All industries",19210
1998,"Total number of jobs","Business sector industries",10925
1998,"Total number of jobs","Goods-producing businesses",2525
1998,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",95
1998,"Total number of jobs","Mining and oil and gas extraction [BS21]",525
1998,"Total number of jobs","Utilities [BS22]",115
1998,"Total number of jobs","Construction [BS23]",1535
1998,"Total number of jobs","Manufacturing [BS3A]",255
1998,"Total number of jobs","Service-producing businesses",8400
1998,"Total number of jobs","Energy sector",140
1998,"Total number of jobs","Information and communication sector",345
1998,"Hours worked for all jobs","All industries",33298
1998,"Hours worked for all jobs","Business sector industries",19508.9
1998,"Hours worked for all jobs","Goods-producing businesses",4867.7
1998,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",135.5
1998,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",1085.1
1998,"Hours worked for all jobs","Utilities [BS22]",224.1
1998,"Hours worked for all jobs","Construction [BS23]",3058.6
1998,"Hours worked for all jobs","Manufacturing [BS3A]",364.4
1998,"Hours worked for all jobs","Service-producing businesses",14641.2
1998,"Hours worked for all jobs","Energy sector",248.5
1998,"Hours worked for all jobs","Information and communication sector",621.2
1998,"Annual average number of hours worked for all jobs","All industries",1733
1998,"Annual average number of hours worked for all jobs","Business sector industries",1786
1998,"Annual average number of hours worked for all jobs","Goods-producing businesses",1928
1998,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1426
1998,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2067
1998,"Annual average number of hours worked for all jobs","Utilities [BS22]",1949
1998,"Annual average number of hours worked for all jobs","Construction [BS23]",1993
1998,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1429
1998,"Annual average number of hours worked for all jobs","Service-producing businesses",1743
1998,"Annual average number of hours worked for all jobs","Energy sector",1775
1998,"Annual average number of hours worked for all jobs","Information and communication sector",1801
1998,"Total compensation for all jobs","All industries",655223
1998,"Total compensation for all jobs","Business sector industries",348528
1998,"Total compensation for all jobs","Goods-producing businesses",111029
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1410
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",29806
1998,"Total compensation for all jobs","Utilities [BS22]",6632
1998,"Total compensation for all jobs","Construction [BS23]",67863
1998,"Total compensation for all jobs","Manufacturing [BS3A]",5318
1998,"Total compensation for all jobs","Service-producing businesses",237499
1998,"Total compensation for all jobs","Energy sector",7121
1998,"Total compensation for all jobs","Information and communication sector",14544
1998,"Nominal value added","All industries",1082860
1998,"Nominal value added","Business sector industries",582550
1998,"Nominal value added","Goods-producing businesses",188714
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",5217
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",86375
1998,"Nominal value added","Utilities [BS22]",28323
1998,"Nominal value added","Construction [BS23]",65069
1998,"Nominal value added","Manufacturing [BS3A]",3730
1998,"Nominal value added","Service-producing businesses",393836
1998,"Nominal value added","Energy sector",50736
1998,"Nominal value added","Information and communication sector",27978
1998,"Real value added","All industries",1486042
1998,"Real value added","Business sector industries",770860
1998,"Real value added","Goods-producing businesses",254444
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",11199
1998,"Real value added","Mining and oil and gas extraction [BS21]",114981
1998,"Real value added","Utilities [BS22]",20276
1998,"Real value added","Construction [BS23]",133215
1998,"Real value added","Manufacturing [BS3A]",5161
1998,"Real value added","Service-producing businesses",553211
1998,"Real value added","Energy sector",105816
1998,"Real value added","Information and communication sector",26703
1998,"Labour productivity","All industries",44.6
1998,"Labour productivity","Business sector industries",39.5
1998,"Labour productivity","Goods-producing businesses",52.3
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",82.6
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",106
1998,"Labour productivity","Utilities [BS22]",90.5
1998,"Labour productivity","Construction [BS23]",43.6
1998,"Labour productivity","Manufacturing [BS3A]",14.2
1998,"Labour productivity","Service-producing businesses",37.8
1998,"Labour productivity","Energy sector",425.8
1998,"Labour productivity","Information and communication sector",43
1998,"Total compensation per hour worked","All industries",19.68
1998,"Total compensation per hour worked","Business sector industries",17.87
1998,"Total compensation per hour worked","Goods-producing businesses",22.81
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",10.41
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",27.47
1998,"Total compensation per hour worked","Utilities [BS22]",29.59
1998,"Total compensation per hour worked","Construction [BS23]",22.19
1998,"Total compensation per hour worked","Manufacturing [BS3A]",14.59
1998,"Total compensation per hour worked","Service-producing businesses",16.22
1998,"Total compensation per hour worked","Energy sector",28.66
1998,"Total compensation per hour worked","Information and communication sector",23.41
1998,"Unit labour cost","All industries",0.441
1998,"Unit labour cost","Business sector industries",0.452
1998,"Unit labour cost","Goods-producing businesses",0.436
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",0.126
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.259
1998,"Unit labour cost","Utilities [BS22]",0.327
1998,"Unit labour cost","Construction [BS23]",0.509
1998,"Unit labour cost","Manufacturing [BS3A]",1.03
1998,"Unit labour cost","Service-producing businesses",0.429
1998,"Unit labour cost","Energy sector",0.067
1998,"Unit labour cost","Information and communication sector",0.545
1998,"Unit labour cost in US dollars","All industries",0.298
1998,"Unit labour cost in US dollars","Business sector industries",0.305
1998,"Unit labour cost in US dollars","Goods-producing businesses",0.294
1998,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.085
1998,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.175
1998,"Unit labour cost in US dollars","Utilities [BS22]",0.221
1998,"Unit labour cost in US dollars","Construction [BS23]",0.344
1998,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.695
1998,"Unit labour cost in US dollars","Service-producing businesses",0.29
1998,"Unit labour cost in US dollars","Energy sector",0.045
1998,"Unit labour cost in US dollars","Information and communication sector",0.368
1998,"Labour share","All industries",60.5
1998,"Labour share","Business sector industries",59.8
1998,"Labour share","Goods-producing businesses",58.8
1998,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",27
1998,"Labour share","Mining and oil and gas extraction [BS21]",34.5
1998,"Labour share","Utilities [BS22]",23.4
1998,"Labour share","Construction [BS23]",104.3
1998,"Labour share","Manufacturing [BS3A]",142.6
1998,"Labour share","Service-producing businesses",60.3
1998,"Labour share","Energy sector",14
1998,"Labour share","Information and communication sector",52
1998,"Total number of jobs","All industries",33145
1998,"Total number of jobs","Business sector industries",19715
1998,"Total number of jobs","Goods-producing businesses",5820
1998,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",255
1998,"Total number of jobs","Mining and oil and gas extraction [BS21]",1880
1998,"Total number of jobs","Utilities [BS22]",415
1998,"Total number of jobs","Construction [BS23]",3095
1998,"Total number of jobs","Manufacturing [BS3A]",175
1998,"Total number of jobs","Service-producing businesses",13895
1998,"Total number of jobs","Energy sector",660
1998,"Total number of jobs","Information and communication sector",495
1998,"Hours worked for all jobs","All industries",60408.6
1998,"Hours worked for all jobs","Business sector industries",37083.9
1998,"Hours worked for all jobs","Goods-producing businesses",11992.5
1998,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",420.5
1998,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",4033.6
1998,"Hours worked for all jobs","Utilities [BS22]",802.3
1998,"Hours worked for all jobs","Construction [BS23]",6435.8
1998,"Hours worked for all jobs","Manufacturing [BS3A]",300.3
1998,"Hours worked for all jobs","Service-producing businesses",25091.4
1998,"Hours worked for all jobs","Energy sector",1344.1
1998,"Hours worked for all jobs","Information and communication sector",913.9
1998,"Annual average number of hours worked for all jobs","All industries",1823
1998,"Annual average number of hours worked for all jobs","Business sector industries",1881
1998,"Annual average number of hours worked for all jobs","Goods-producing businesses",2061
1998,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",1649
1998,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",2146
1998,"Annual average number of hours worked for all jobs","Utilities [BS22]",1933
1998,"Annual average number of hours worked for all jobs","Construction [BS23]",2079
1998,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",1716
1998,"Annual average number of hours worked for all jobs","Service-producing businesses",1806
1998,"Annual average number of hours worked for all jobs","Energy sector",2037
1998,"Annual average number of hours worked for all jobs","Information and communication sector",1846
1998,"Total compensation for all jobs","All industries",1585185
1998,"Total compensation for all jobs","Business sector industries",918333
1998,"Total compensation for all jobs","Goods-producing businesses",383670
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",7877
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",151845
1998,"Total compensation for all jobs","Utilities [BS22]",33456
1998,"Total compensation for all jobs","Construction [BS23]",183625
1998,"Total compensation for all jobs","Manufacturing [BS3A]",6867
1998,"Total compensation for all jobs","Service-producing businesses",534663
1998,"Total compensation for all jobs","Energy sector",55671
1998,"Total compensation for all jobs","Information and communication sector",35308
1998,"Nominal value added","All industries",2621999
1998,"Nominal value added","Business sector industries",1642680
1998,"Nominal value added","Goods-producing businesses",737932
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",9041
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",381804
1998,"Nominal value added","Utilities [BS22]",48229
1998,"Nominal value added","Construction [BS23]",291787
1998,"Nominal value added","Manufacturing [BS3A]",7071
1998,"Nominal value added","Service-producing businesses",904748
1998,"Nominal value added","Energy sector",255946
1998,"Nominal value added","Information and communication sector",68352
1998,"Real value added","All industries",3995381
1998,"Real value added","Business sector industries",2587645
1998,"Real value added","Goods-producing businesses",1358138
1998,"Real value added","Agriculture, forestry, fishing and hunting [BS11]",7030
1998,"Real value added","Mining and oil and gas extraction [BS21]",708852
1998,"Real value added","Utilities [BS22]",69508
1998,"Real value added","Construction [BS23]",603570
1998,"Real value added","Manufacturing [BS3A]",8148
1998,"Real value added","Service-producing businesses",1113044
1998,"Real value added","Energy sector",1008656
1998,"Real value added","Information and communication sector",59728
1998,"Labour productivity","All industries",66.1
1998,"Labour productivity","Business sector industries",69.8
1998,"Labour productivity","Goods-producing businesses",113.2
1998,"Labour productivity","Agriculture, forestry, fishing and hunting [BS11]",16.7
1998,"Labour productivity","Mining and oil and gas extraction [BS21]",175.7
1998,"Labour productivity","Utilities [BS22]",86.6
1998,"Labour productivity","Construction [BS23]",93.8
1998,"Labour productivity","Manufacturing [BS3A]",27.1
1998,"Labour productivity","Service-producing businesses",44.4
1998,"Labour productivity","Energy sector",750.4
1998,"Labour productivity","Information and communication sector",65.4
1998,"Total compensation per hour worked","All industries",26.24
1998,"Total compensation per hour worked","Business sector industries",24.76
1998,"Total compensation per hour worked","Goods-producing businesses",31.99
1998,"Total compensation per hour worked","Agriculture, forestry, fishing and hunting [BS11]",18.73
1998,"Total compensation per hour worked","Mining and oil and gas extraction [BS21]",37.65
1998,"Total compensation per hour worked","Utilities [BS22]",41.7
1998,"Total compensation per hour worked","Construction [BS23]",28.53
1998,"Total compensation per hour worked","Manufacturing [BS3A]",22.87
1998,"Total compensation per hour worked","Service-producing businesses",21.31
1998,"Total compensation per hour worked","Energy sector",41.42
1998,"Total compensation per hour worked","Information and communication sector",38.63
1998,"Unit labour cost","All industries",0.397
1998,"Unit labour cost","Business sector industries",0.355
1998,"Unit labour cost","Goods-producing businesses",0.282
1998,"Unit labour cost","Agriculture, forestry, fishing and hunting [BS11]",1.12
1998,"Unit labour cost","Mining and oil and gas extraction [BS21]",0.214
1998,"Unit labour cost","Utilities [BS22]",0.481
1998,"Unit labour cost","Construction [BS23]",0.304
1998,"Unit labour cost","Manufacturing [BS3A]",0.843
1998,"Unit labour cost","Service-producing businesses",0.48
1998,"Unit labour cost","Energy sector",0.055
1998,"Unit labour cost","Information and communication sector",0.591
1998,"Unit labour cost in US dollars","All industries",0.268
1998,"Unit labour cost in US dollars","Business sector industries",0.239
1998,"Unit labour cost in US dollars","Goods-producing businesses",0.191
1998,"Unit labour cost in US dollars","Agriculture, forestry, fishing and hunting [BS11]",0.756
1998,"Unit labour cost in US dollars","Mining and oil and gas extraction [BS21]",0.145
1998,"Unit labour cost in US dollars","Utilities [BS22]",0.325
1998,"Unit labour cost in US dollars","Construction [BS23]",0.205
1998,"Unit labour cost in US dollars","Manufacturing [BS3A]",0.569
1998,"Unit labour cost in US dollars","Service-producing businesses",0.324
1998,"Unit labour cost in US dollars","Energy sector",0.037
1998,"Unit labour cost in US dollars","Information and communication sector",0.399
1998,"Labour share","All industries",60.5
1998,"Labour share","Business sector industries",55.9
1998,"Labour share","Goods-producing businesses",52
1998,"Labour share","Agriculture, forestry, fishing and hunting [BS11]",87.1
1998,"Labour share","Mining and oil and gas extraction [BS21]",39.8
1998,"Labour share","Utilities [BS22]",69.4
1998,"Labour share","Construction [BS23]",62.9
1998,"Labour share","Manufacturing [BS3A]",97.1
1998,"Labour share","Service-producing businesses",59.1
1998,"Labour share","Energy sector",21.8
1998,"Labour share","Information and communication sector",51.7
1998,"Total number of jobs","All industries",NA
1998,"Total number of jobs","Business sector industries",NA
1998,"Total number of jobs","Goods-producing businesses",NA
1998,"Total number of jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total number of jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Total number of jobs","Utilities [BS22]",NA
1998,"Total number of jobs","Construction [BS23]",NA
1998,"Total number of jobs","Manufacturing [BS3A]",NA
1998,"Total number of jobs","Service-producing businesses",NA
1998,"Total number of jobs","Energy sector",NA
1998,"Total number of jobs","Information and communication sector",NA
1998,"Hours worked for all jobs","All industries",NA
1998,"Hours worked for all jobs","Business sector industries",NA
1998,"Hours worked for all jobs","Goods-producing businesses",NA
1998,"Hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Hours worked for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Hours worked for all jobs","Utilities [BS22]",NA
1998,"Hours worked for all jobs","Construction [BS23]",NA
1998,"Hours worked for all jobs","Manufacturing [BS3A]",NA
1998,"Hours worked for all jobs","Service-producing businesses",NA
1998,"Hours worked for all jobs","Energy sector",NA
1998,"Hours worked for all jobs","Information and communication sector",NA
1998,"Annual average number of hours worked for all jobs","All industries",NA
1998,"Annual average number of hours worked for all jobs","Business sector industries",NA
1998,"Annual average number of hours worked for all jobs","Goods-producing businesses",NA
1998,"Annual average number of hours worked for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Annual average number of hours worked for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Annual average number of hours worked for all jobs","Utilities [BS22]",NA
1998,"Annual average number of hours worked for all jobs","Construction [BS23]",NA
1998,"Annual average number of hours worked for all jobs","Manufacturing [BS3A]",NA
1998,"Annual average number of hours worked for all jobs","Service-producing businesses",NA
1998,"Annual average number of hours worked for all jobs","Energy sector",NA
1998,"Annual average number of hours worked for all jobs","Information and communication sector",NA
1998,"Total compensation for all jobs","All industries",NA
1998,"Total compensation for all jobs","Business sector industries",NA
1998,"Total compensation for all jobs","Goods-producing businesses",NA
1998,"Total compensation for all jobs","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Total compensation for all jobs","Mining and oil and gas extraction [BS21]",NA
1998,"Total compensation for all jobs","Utilities [BS22]",NA
1998,"Total compensation for all jobs","Construction [BS23]",NA
1998,"Total compensation for all jobs","Manufacturing [BS3A]",NA
1998,"Total compensation for all jobs","Service-producing businesses",NA
1998,"Total compensation for all jobs","Energy sector",NA
1998,"Total compensation for all jobs","Information and communication sector",NA
1998,"Nominal value added","All industries",NA
1998,"Nominal value added","Business sector industries",NA
1998,"Nominal value added","Goods-producing businesses",NA
1998,"Nominal value added","Agriculture, forestry, fishing and hunting [BS11]",NA
1998,"Nominal value added","Mining and oil and gas extraction [BS21]",NA
1998,"Nominal value added","Utilities [BS22]",NA
1998,"Nominal value added","Construction [BS23]",NA
1998,"Nominal value added","Manufacturing [BS3A]",NA
1998,"Nominal value added","Service-producing businesses",NA
1998,"Nominal value added","Energy sector",NA
1998,"Nominal value added","Information and communication sector",NA
1998,"Real value added","All industries",NA
