"Year","GEO","Prices","Estimates","UOM","SCALAR_FACTOR","VALUE","GDP","Estimate_per_GDP"
1988,"New Brunswick","Chained (2017) dollars","Machinery and equipment","Dollars","millions",580,23640,2.5
1988,"New Brunswick","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1482,23640,6.2
1988,"New Brunswick","Chained (2017) dollars","Non-residential structures","Dollars","millions",847,23640,3.6
1988,"New Brunswick","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1356,23640,5.7
1988,"New Brunswick","Chained (2017) dollars","Residential structures","Dollars","millions",1174,23640,5
1988,"New Brunswick","Current prices","Business gross fixed capital formation","Dollars","millions",1974,12870,15.3
1988,"New Brunswick","Current prices","General governments final consumption expenditure","Dollars","millions",3550,12870,27.6
1988,"New Brunswick","Current prices","Gross domestic product at market prices","Dollars","millions",12870,12870,100
1988,"New Brunswick","Current prices","Intellectual property products","Dollars","millions",96,12870,0.7
1988,"New Brunswick","Current prices","Machinery and equipment","Dollars","millions",772,12870,6
1988,"New Brunswick","Current prices","Non-residential Investment","Dollars","millions",1299,12870,10
1988,"New Brunswick","Current prices","Non-residential structures","Dollars","millions",431,12870,3.3
1988,"New Brunswick","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",1203,12870,9.3
1988,"New Brunswick","Current prices","Residential structures","Dollars","millions",675,12870,5.2
1988,"Newfoundland and Labrador","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",2509,18355,13.7
1988,"Newfoundland and Labrador","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",5981,18355,32.6
1988,"Newfoundland and Labrador","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",18355,18355,100
1988,"Newfoundland and Labrador","Chained (2017) dollars","Intellectual property products","Dollars","millions",280,18355,1.5
1988,"Newfoundland and Labrador","Chained (2017) dollars","Machinery and equipment","Dollars","millions",416,18355,2.3
1988,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1447,18355,7.9
1988,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential structures","Dollars","millions",718,18355,3.9
1988,"Newfoundland and Labrador","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1167,18355,6.4
1988,"Newfoundland and Labrador","Chained (2017) dollars","Residential structures","Dollars","millions",1138,18355,6.2
1988,"Newfoundland and Labrador","Current prices","Business gross fixed capital formation","Dollars","millions",1623,8579,18.9
1988,"Newfoundland and Labrador","Current prices","General governments final consumption expenditure","Dollars","millions",2833,8579,33
1988,"Newfoundland and Labrador","Current prices","Gross domestic product at market prices","Dollars","millions",8579,8579,100
1988,"Newfoundland and Labrador","Current prices","Intellectual property products","Dollars","millions",191,8579,2.2
1988,"Newfoundland and Labrador","Current prices","Machinery and equipment","Dollars","millions",514,8579,6
1988,"Newfoundland and Labrador","Current prices","Non-residential Investment","Dollars","millions",1106,8579,12.9
1988,"Newfoundland and Labrador","Current prices","Non-residential structures","Dollars","millions",401,8579,4.7
1988,"Newfoundland and Labrador","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",915,8579,10.7
1988,"Newfoundland and Labrador","Current prices","Residential structures","Dollars","millions",517,8579,6
1988,"Northwest Territories","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Intellectual property products","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Non-residential Investment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Chained (2017) dollars","Residential structures","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Intellectual property products","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Non-residential Investment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Non-residential structures","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Northwest Territories","Current prices","Residential structures","Dollars","millions",NA,NA,NA
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",1107,3522,31.4
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",2471,3522,70.2
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",3522,3522,100
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Intellectual property products","Dollars","millions",418,3522,11.9
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Machinery and equipment","Dollars","millions",76,3522,2.2
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential Investment","Dollars","millions",939,3522,26.7
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential structures","Dollars","millions",451,3522,12.8
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",521,3522,14.8
1988,"Northwest Territories including Nunavut","Chained (2017) dollars","Residential structures","Dollars","millions",207,3522,5.9
1988,"Northwest Territories including Nunavut","Current prices","Business gross fixed capital formation","Dollars","millions",662,2079,31.8
1988,"Northwest Territories including Nunavut","Current prices","General governments final consumption expenditure","Dollars","millions",1111,2079,53.4
1988,"Northwest Territories including Nunavut","Current prices","Gross domestic product at market prices","Dollars","millions",2079,2079,100
1988,"Northwest Territories including Nunavut","Current prices","Intellectual property products","Dollars","millions",231,2079,11.1
1988,"Northwest Territories including Nunavut","Current prices","Machinery and equipment","Dollars","millions",97,2079,4.7
1988,"Northwest Territories including Nunavut","Current prices","Non-residential Investment","Dollars","millions",579,2079,27.8
1988,"Northwest Territories including Nunavut","Current prices","Non-residential structures","Dollars","millions",251,2079,12.1
1988,"Northwest Territories including Nunavut","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",348,2079,16.7
1988,"Northwest Territories including Nunavut","Current prices","Residential structures","Dollars","millions",83,2079,4
1988,"Nova Scotia","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",3709,28936,12.8
1988,"Nova Scotia","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",12689,28936,43.9
1988,"Nova Scotia","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",28936,28936,100
1988,"Nova Scotia","Chained (2017) dollars","Intellectual property products","Dollars","millions",212,28936,0.7
1988,"Nova Scotia","Chained (2017) dollars","Machinery and equipment","Dollars","millions",791,28936,2.7
1988,"Nova Scotia","Chained (2017) dollars","Non-residential Investment","Dollars","millions",2056,28936,7.1
1988,"Nova Scotia","Chained (2017) dollars","Non-residential structures","Dollars","millions",1138,28936,3.9
1988,"Nova Scotia","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1844,28936,6.4
1988,"Nova Scotia","Chained (2017) dollars","Residential structures","Dollars","millions",1709,28936,5.9
1988,"Nova Scotia","Current prices","Business gross fixed capital formation","Dollars","millions",2659,15960,16.7
1988,"Nova Scotia","Current prices","General governments final consumption expenditure","Dollars","millions",5534,15960,34.7
1988,"Nova Scotia","Current prices","Gross domestic product at market prices","Dollars","millions",15960,15960,100
1988,"Nova Scotia","Current prices","Intellectual property products","Dollars","millions",173,15960,1.1
1988,"Nova Scotia","Current prices","Machinery and equipment","Dollars","millions",1021,15960,6.4
1988,"Nova Scotia","Current prices","Non-residential Investment","Dollars","millions",1794,15960,11.3
1988,"Nova Scotia","Current prices","Non-residential structures","Dollars","millions",600,15960,3.8
1988,"Nova Scotia","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",1621,15960,10.2
1988,"Nova Scotia","Current prices","Residential structures","Dollars","millions",865,15960,5.4
1988,"Nunavut","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Intellectual property products","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Non-residential Investment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Chained (2017) dollars","Residential structures","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Business gross fixed capital formation","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","General governments final consumption expenditure","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Gross domestic product at market prices","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Intellectual property products","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Non-residential Investment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Non-residential structures","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",NA,NA,NA
1988,"Nunavut","Current prices","Residential structures","Dollars","millions",NA,NA,NA
1988,"Ontario","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",77691,441390,17.6
1988,"Ontario","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",98926,441390,22.4
1988,"Ontario","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",441390,441390,100
1988,"Ontario","Chained (2017) dollars","Intellectual property products","Dollars","millions",4634,441390,1
1988,"Ontario","Chained (2017) dollars","Machinery and equipment","Dollars","millions",12401,441390,2.8
1988,"Ontario","Chained (2017) dollars","Non-residential Investment","Dollars","millions",33698,441390,7.6
1988,"Ontario","Chained (2017) dollars","Non-residential structures","Dollars","millions",23149,441390,5.2
1988,"Ontario","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",29064,441390,6.6
1988,"Ontario","Chained (2017) dollars","Residential structures","Dollars","millions",48504,441390,11
1988,"Ontario","Current prices","Business gross fixed capital formation","Dollars","millions",51709,260766,19.8
1988,"Ontario","Current prices","General governments final consumption expenditure","Dollars","millions",47573,260766,18.2
1988,"Ontario","Current prices","Gross domestic product at market prices","Dollars","millions",260766,260766,100
1988,"Ontario","Current prices","Intellectual property products","Dollars","millions",3179,260766,1.2
1988,"Ontario","Current prices","Machinery and equipment","Dollars","millions",17534,260766,6.7
1988,"Ontario","Current prices","Non-residential Investment","Dollars","millions",31779,260766,12.2
1988,"Ontario","Current prices","Non-residential structures","Dollars","millions",11066,260766,4.2
1988,"Ontario","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",28600,260766,11
1988,"Ontario","Current prices","Residential structures","Dollars","millions",19930,260766,7.6
1988,"Outside Canada","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",0,1869,0
1988,"Outside Canada","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",1952,1869,104.4
1988,"Outside Canada","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",1869,1869,100
1988,"Outside Canada","Chained (2017) dollars","Intellectual property products","Dollars","millions",0,1869,0
1988,"Outside Canada","Chained (2017) dollars","Machinery and equipment","Dollars","millions",NA,1869,NA
1988,"Outside Canada","Chained (2017) dollars","Non-residential Investment","Dollars","millions",0,1869,0
1988,"Outside Canada","Chained (2017) dollars","Non-residential structures","Dollars","millions",NA,1869,NA
1988,"Outside Canada","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",0,1869,0
1988,"Outside Canada","Chained (2017) dollars","Residential structures","Dollars","millions",0,1869,0
1988,"Outside Canada","Current prices","Business gross fixed capital formation","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","General governments final consumption expenditure","Dollars","millions",958,727,131.8
1988,"Outside Canada","Current prices","Gross domestic product at market prices","Dollars","millions",727,727,100
1988,"Outside Canada","Current prices","Intellectual property products","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","Machinery and equipment","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","Non-residential Investment","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","Non-residential structures","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",0,727,0
1988,"Outside Canada","Current prices","Residential structures","Dollars","millions",0,727,0
1988,"Prince Edward Island","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",401,3583,11.2
1988,"Prince Edward Island","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",1434,3583,40
1988,"Prince Edward Island","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",3583,3583,100
1988,"Prince Edward Island","Chained (2017) dollars","Intellectual property products","Dollars","millions",6,3583,0.2
1988,"Prince Edward Island","Chained (2017) dollars","Machinery and equipment","Dollars","millions",75,3583,2.1
1988,"Prince Edward Island","Chained (2017) dollars","Non-residential Investment","Dollars","millions",182,3583,5.1
1988,"Prince Edward Island","Chained (2017) dollars","Non-residential structures","Dollars","millions",123,3583,3.4
1988,"Prince Edward Island","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",176,3583,4.9
1988,"Prince Edward Island","Chained (2017) dollars","Residential structures","Dollars","millions",233,3583,6.5
1988,"Prince Edward Island","Current prices","Business gross fixed capital formation","Dollars","millions",299,1946,15.4
1988,"Prince Edward Island","Current prices","General governments final consumption expenditure","Dollars","millions",658,1946,33.8
1988,"Prince Edward Island","Current prices","Gross domestic product at market prices","Dollars","millions",1946,1946,100
1988,"Prince Edward Island","Current prices","Intellectual property products","Dollars","millions",6,1946,0.3
1988,"Prince Edward Island","Current prices","Machinery and equipment","Dollars","millions",91,1946,4.7
1988,"Prince Edward Island","Current prices","Non-residential Investment","Dollars","millions",164,1946,8.4
1988,"Prince Edward Island","Current prices","Non-residential structures","Dollars","millions",67,1946,3.4
1988,"Prince Edward Island","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",158,1946,8.1
1988,"Prince Edward Island","Current prices","Residential structures","Dollars","millions",135,1946,6.9
1988,"Quebec","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",36281,248110,14.6
1988,"Quebec","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",69185,248110,27.9
1988,"Quebec","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",248110,248110,100
1988,"Quebec","Chained (2017) dollars","Intellectual property products","Dollars","millions",2616,248110,1.1
1988,"Quebec","Chained (2017) dollars","Machinery and equipment","Dollars","millions",5738,248110,2.3
1988,"Quebec","Chained (2017) dollars","Non-residential Investment","Dollars","millions",17210,248110,7
1988,"Quebec","Chained (2017) dollars","Non-residential structures","Dollars","millions",11170,248110,4.5
1988,"Quebec","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",14594,248110,5.9
1988,"Quebec","Chained (2017) dollars","Residential structures","Dollars","millions",20975,248110,8.5
1988,"Quebec","Current prices","Business gross fixed capital formation","Dollars","millions",25673,143726,17.9
1988,"Quebec","Current prices","General governments final consumption expenditure","Dollars","millions",32938,143726,22.9
1988,"Quebec","Current prices","Gross domestic product at market prices","Dollars","millions",143726,143726,100
1988,"Quebec","Current prices","Intellectual property products","Dollars","millions",1680,143726,1.2
1988,"Quebec","Current prices","Machinery and equipment","Dollars","millions",8270,143726,5.8
1988,"Quebec","Current prices","Non-residential Investment","Dollars","millions",15622,143726,10.9
1988,"Quebec","Current prices","Non-residential structures","Dollars","millions",5672,143726,3.9
1988,"Quebec","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",13942,143726,9.7
1988,"Quebec","Current prices","Residential structures","Dollars","millions",10051,143726,7
1988,"Saskatchewan","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",6617,42277,15.7
1988,"Saskatchewan","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",11679,42277,27.6
1988,"Saskatchewan","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",42277,42277,100
1988,"Saskatchewan","Chained (2017) dollars","Intellectual property products","Dollars","millions",384,42277,0.9
1988,"Saskatchewan","Chained (2017) dollars","Machinery and equipment","Dollars","millions",1122,42277,2.7
1988,"Saskatchewan","Chained (2017) dollars","Non-residential Investment","Dollars","millions",4454,42277,10.5
1988,"Saskatchewan","Chained (2017) dollars","Non-residential structures","Dollars","millions",3175,42277,7.5
1988,"Saskatchewan","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",4070,42277,9.6
1988,"Saskatchewan","Chained (2017) dollars","Residential structures","Dollars","millions",2612,42277,6.2
1988,"Saskatchewan","Current prices","Business gross fixed capital formation","Dollars","millions",4074,19154,21.3
1988,"Saskatchewan","Current prices","General governments final consumption expenditure","Dollars","millions",4762,19154,24.9
1988,"Saskatchewan","Current prices","Gross domestic product at market prices","Dollars","millions",19154,19154,100
1988,"Saskatchewan","Current prices","Intellectual property products","Dollars","millions",232,19154,1.2
1988,"Saskatchewan","Current prices","Machinery and equipment","Dollars","millions",1282,19154,6.7
1988,"Saskatchewan","Current prices","Non-residential Investment","Dollars","millions",3063,19154,16
1988,"Saskatchewan","Current prices","Non-residential structures","Dollars","millions",1549,19154,8.1
1988,"Saskatchewan","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",2831,19154,14.8
1988,"Saskatchewan","Current prices","Residential structures","Dollars","millions",1011,19154,5.3
1988,"Yukon","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",265,1526,17.4
1988,"Yukon","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",722,1526,47.3
1988,"Yukon","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",1526,1526,100
1988,"Yukon","Chained (2017) dollars","Intellectual property products","Dollars","millions",65,1526,4.3
1988,"Yukon","Chained (2017) dollars","Machinery and equipment","Dollars","millions",18,1526,1.2
1988,"Yukon","Chained (2017) dollars","Non-residential Investment","Dollars","millions",163,1526,10.7
1988,"Yukon","Chained (2017) dollars","Non-residential structures","Dollars","millions",120,1526,7.9
1988,"Yukon","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",98,1526,6.4
1988,"Yukon","Chained (2017) dollars","Residential structures","Dollars","millions",104,1526,6.8
1988,"Yukon","Current prices","Business gross fixed capital formation","Dollars","millions",175,1006,17.4
1988,"Yukon","Current prices","General governments final consumption expenditure","Dollars","millions",333,1006,33.1
1988,"Yukon","Current prices","Gross domestic product at market prices","Dollars","millions",1006,1006,100
1988,"Yukon","Current prices","Intellectual property products","Dollars","millions",38,1006,3.8
1988,"Yukon","Current prices","Machinery and equipment","Dollars","millions",28,1006,2.8
1988,"Yukon","Current prices","Non-residential Investment","Dollars","millions",128,1006,12.7
1988,"Yukon","Current prices","Non-residential structures","Dollars","millions",62,1006,6.2
1988,"Yukon","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",90,1006,8.9
1988,"Yukon","Current prices","Residential structures","Dollars","millions",47,1006,4.7
1989,"Alberta","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",24800,142912,17.4
1989,"Alberta","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",31413,142912,22
1989,"Alberta","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",142912,142912,100
1989,"Alberta","Chained (2017) dollars","Intellectual property products","Dollars","millions",1970,142912,1.4
1989,"Alberta","Chained (2017) dollars","Machinery and equipment","Dollars","millions",3218,142912,2.3
1989,"Alberta","Chained (2017) dollars","Non-residential Investment","Dollars","millions",17264,142912,12.1
1989,"Alberta","Chained (2017) dollars","Non-residential structures","Dollars","millions",14063,142912,9.8
1989,"Alberta","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",15294,142912,10.7
1989,"Alberta","Chained (2017) dollars","Residential structures","Dollars","millions",8468,142912,5.9
1989,"Alberta","Current prices","Business gross fixed capital formation","Dollars","millions",14257,69238,20.6
1989,"Alberta","Current prices","General governments final consumption expenditure","Dollars","millions",13851,69238,20
1989,"Alberta","Current prices","Gross domestic product at market prices","Dollars","millions",69238,69238,100
1989,"Alberta","Current prices","Intellectual property products","Dollars","millions",1072,69238,1.5
1989,"Alberta","Current prices","Machinery and equipment","Dollars","millions",4056,69238,5.9
1989,"Alberta","Current prices","Non-residential Investment","Dollars","millions",11349,69238,16.3
1989,"Alberta","Current prices","Non-residential structures","Dollars","millions",6221,69238,9
1989,"Alberta","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",10277,69238,14.8
1989,"Alberta","Current prices","Residential structures","Dollars","millions",2908,69238,4.2
1989,"British Columbia","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",25694,136097,18.9
1989,"British Columbia","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",31189,136097,22.9
1989,"British Columbia","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",136097,136097,100
1989,"British Columbia","Chained (2017) dollars","Intellectual property products","Dollars","millions",1095,136097,0.8
1989,"British Columbia","Chained (2017) dollars","Machinery and equipment","Dollars","millions",3436,136097,2.5
1989,"British Columbia","Chained (2017) dollars","Non-residential Investment","Dollars","millions",11905,136097,8.7
1989,"British Columbia","Chained (2017) dollars","Non-residential structures","Dollars","millions",8406,136097,6.2
1989,"British Columbia","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",10810,136097,7.9
1989,"British Columbia","Chained (2017) dollars","Residential structures","Dollars","millions",13795,136097,10.1
1989,"British Columbia","Current prices","Business gross fixed capital formation","Dollars","millions",15995,78443,20.4
1989,"British Columbia","Current prices","General governments final consumption expenditure","Dollars","millions",14718,78443,18.8
1989,"British Columbia","Current prices","Gross domestic product at market prices","Dollars","millions",78443,78443,100
1989,"British Columbia","Current prices","Intellectual property products","Dollars","millions",680,78443,0.9
1989,"British Columbia","Current prices","Machinery and equipment","Dollars","millions",4728,78443,6
1989,"British Columbia","Current prices","Non-residential Investment","Dollars","millions",9381,78443,12
1989,"British Columbia","Current prices","Non-residential structures","Dollars","millions",3973,78443,5.1
1989,"British Columbia","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",8701,78443,11.1
1989,"British Columbia","Current prices","Residential structures","Dollars","millions",6614,78443,8.4
1989,"Canada","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",210667,1157317,18.2
1989,"Canada","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",294500,1157317,25.4
1989,"Canada","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",1157317,1157317,100
1989,"Canada","Chained (2017) dollars","Intellectual property products","Dollars","millions",12028,1157317,1
1989,"Canada","Chained (2017) dollars","Machinery and equipment","Dollars","millions",37140,1157317,3.2
1989,"Canada","Chained (2017) dollars","Non-residential Investment","Dollars","millions",111961,1157317,9.6
1989,"Canada","Chained (2017) dollars","Non-residential structures","Dollars","millions",71371,1157317,6.2
1989,"Canada","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",99933,1157317,8.6
1989,"Canada","Chained (2017) dollars","Residential structures","Dollars","millions",105138,1157317,9.1
1989,"Canada","Current prices","Business gross fixed capital formation","Dollars","millions",129853,671579,19.3
1989,"Canada","Current prices","General governments final consumption expenditure","Dollars","millions",143508,671579,21.4
1989,"Canada","Current prices","Gross domestic product at market prices","Dollars","millions",671579,671579,100
1989,"Canada","Current prices","Intellectual property products","Dollars","millions",7736,671579,1.2
1989,"Canada","Current prices","Machinery and equipment","Dollars","millions",41514,671579,6.2
1989,"Canada","Current prices","Non-residential Investment","Dollars","millions",83189,671579,12.4
1989,"Canada","Current prices","Non-residential structures","Dollars","millions",33939,671579,5.1
1989,"Canada","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",75453,671579,11.2
1989,"Canada","Current prices","Residential structures","Dollars","millions",46664,671579,6.9
1989,"Manitoba","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",5091,39785,12.8
1989,"Manitoba","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",12990,39785,32.7
1989,"Manitoba","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",39785,39785,100
1989,"Manitoba","Chained (2017) dollars","Intellectual property products","Dollars","millions",209,39785,0.5
1989,"Manitoba","Chained (2017) dollars","Machinery and equipment","Dollars","millions",894,39785,2.2
1989,"Manitoba","Chained (2017) dollars","Non-residential Investment","Dollars","millions",2822,39785,7.1
1989,"Manitoba","Chained (2017) dollars","Non-residential structures","Dollars","millions",2185,39785,5.5
1989,"Manitoba","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",2613,39785,6.6
1989,"Manitoba","Chained (2017) dollars","Residential structures","Dollars","millions",2616,39785,6.6
1989,"Manitoba","Current prices","Business gross fixed capital formation","Dollars","millions",3427,23872,14.4
1989,"Manitoba","Current prices","General governments final consumption expenditure","Dollars","millions",6135,23872,25.7
1989,"Manitoba","Current prices","Gross domestic product at market prices","Dollars","millions",23872,23872,100
1989,"Manitoba","Current prices","Intellectual property products","Dollars","millions",154,23872,0.6
1989,"Manitoba","Current prices","Machinery and equipment","Dollars","millions",1136,23872,4.8
1989,"Manitoba","Current prices","Non-residential Investment","Dollars","millions",2343,23872,9.8
1989,"Manitoba","Current prices","Non-residential structures","Dollars","millions",1053,23872,4.4
1989,"Manitoba","Current prices","Non-residential structures, machinery and equipment","Dollars","millions",2189,23872,9.2
1989,"Manitoba","Current prices","Residential structures","Dollars","millions",1084,23872,4.5
1989,"New Brunswick","Chained (2017) dollars","Business gross fixed capital formation","Dollars","millions",3048,23691,12.9
1989,"New Brunswick","Chained (2017) dollars","General governments final consumption expenditure","Dollars","millions",8215,23691,34.7
1989,"New Brunswick","Chained (2017) dollars","Gross domestic product at market prices","Dollars","millions",23691,23691,100
1989,"New Brunswick","Chained (2017) dollars","Intellectual property products","Dollars","millions",155,23691,0.7
1989,"New Brunswick","Chained (2017) dollars","Machinery and equipment","Dollars","millions",764,23691,3.2
1989,"New Brunswick","Chained (2017) dollars","Non-residential Investment","Dollars","millions",1879,23691,8
1989,"New Brunswick","Chained (2017) dollars","Non-residential structures","Dollars","millions",1010,23691,4.3
1989,"New Brunswick","Chained (2017) dollars","Non-residential structures, machinery and equipment","Dollars","millions",1724,23691,7.3
1989,"New Brunswick","Chained (2017) dollars","Residential structures","Dollars","millions",1179,23691,5
1989,"New Brunswick","Current prices","Business gross fixed capital formation","Dollars","millions",2336,13484,17.3
1989,"New Brunswick","Current prices","General governments final consumption expenditure","Dollars","millions",3888,13484,28.8
1989,"New Brunswick","Current prices","Gross domestic product at market prices","Dollars","millions",13484,13484,100
1989,"New Brunswick","Current prices","Intellectual property products","Dollars","millions",119,13484,0.9
1989,"New Brunswick","Current prices","Machinery and equipment","Dollars","millions",985,13484,7.3
1989,"New Brunswick","Current prices","Non-residential Investment","Dollars","millions",1643,13484,12.2
