"Year","GEO","Tenure","Statistics","UOM","VALUE"
2018,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, number of persons","Number",6156
2018,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, number of persons","Number",13273
2018,"Rural areas, Newfoundland and Labrador","Total, tenure","Percentage of persons in core housing need","Percent",5.1
2018,"Rural areas, Newfoundland and Labrador","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",3.5
2018,"Rural areas, Newfoundland and Labrador","Total, tenure","High 95% confidence interval, percentage of persons","Percent",7.4
2018,"Rural areas, Newfoundland and Labrador","Owner","Number of households in core housing need","Number",4700
2018,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of households","Number",2623
2018,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, number of households","Number",6996
2018,"Rural areas, Newfoundland and Labrador","Owner","Percentage of households in core housing need","Percent",6.3
2018,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of households","Percent",3.9
2018,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of households","Percent",10
2018,"Rural areas, Newfoundland and Labrador","Owner","Number of persons in core housing need","Number",6600
2018,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, number of persons","Number",3638
2018,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, number of persons","Number",9831
2018,"Rural areas, Newfoundland and Labrador","Owner","Percentage of persons in core housing need","Percent",3.9
2018,"Rural areas, Newfoundland and Labrador","Owner","Low 95% confidence interval, percentage of persons","Percent",2.4
2018,"Rural areas, Newfoundland and Labrador","Owner","High 95% confidence interval, percentage of persons","Percent",6.3
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of households in core housing need","Number",200
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",24
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",604
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",500
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",0
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",1712
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",5.1
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.8
2018,"Rural areas, Newfoundland and Labrador","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",26
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",4500
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",2398
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",6709
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",6.4
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",3.9
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",10.3
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",6100
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",3285
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",9086
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",3.8
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",2.3
2018,"Rural areas, Newfoundland and Labrador","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",6.2
2018,"Rural areas, Newfoundland and Labrador","Renter","Number of households in core housing need","Number",1600
2018,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of households","Number",959
2018,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, number of households","Number",2353
2018,"Rural areas, Newfoundland and Labrador","Renter","Percentage of households in core housing need","Percent",24
2018,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of households","Percent",16.6
2018,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of households","Percent",33
2018,"Rural areas, Newfoundland and Labrador","Renter","Number of persons in core housing need","Number",2900
2018,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, number of persons","Number",1704
2018,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, number of persons","Number",4777
2018,"Rural areas, Newfoundland and Labrador","Renter","Percentage of persons in core housing need","Percent",19.7
2018,"Rural areas, Newfoundland and Labrador","Renter","Low 95% confidence interval, percentage of persons","Percent",12.2
2018,"Rural areas, Newfoundland and Labrador","Renter","High 95% confidence interval, percentage of persons","Percent",30
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Number of households in core housing need","Number",1200
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",698
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",2063
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",20
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",12.6
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",30
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Number of persons in core housing need","Number",2300
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",1262
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",4223
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",17
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",9.5
2018,"Rural areas, Newfoundland and Labrador","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",29
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Number of households in core housing need","Number",400
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",137
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",512
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of households in core housing need","Percent",54
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",37
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",71
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Number of persons in core housing need","Number",600
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",213
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",801
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",48
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",30
2018,"Rural areas, Newfoundland and Labrador","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",67
2018,"Prince Edward Island","Total, tenure","Number of households in core housing need","Number",5400
2018,"Prince Edward Island","Total, tenure","Low 95% confidence interval, number of households","Number",4439
2018,"Prince Edward Island","Total, tenure","High 95% confidence interval, number of households","Number",6401
2018,"Prince Edward Island","Total, tenure","Percentage of households in core housing need","Percent",8.9
2018,"Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of households","Percent",7.4
2018,"Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of households","Percent",10.6
2018,"Prince Edward Island","Total, tenure","Number of persons in core housing need","Number",8000
2018,"Prince Edward Island","Total, tenure","Low 95% confidence interval, number of persons","Number",6213
2018,"Prince Edward Island","Total, tenure","High 95% confidence interval, number of persons","Number",9840
2018,"Prince Edward Island","Total, tenure","Percentage of persons in core housing need","Percent",5.6
2018,"Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",4.4
2018,"Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of persons","Percent",7
2018,"Prince Edward Island","Owner","Number of households in core housing need","Number",3000
2018,"Prince Edward Island","Owner","Low 95% confidence interval, number of households","Number",2136
2018,"Prince Edward Island","Owner","High 95% confidence interval, number of households","Number",3911
2018,"Prince Edward Island","Owner","Percentage of households in core housing need","Percent",6.9
2018,"Prince Edward Island","Owner","Low 95% confidence interval, percentage of households","Percent",5.1
2018,"Prince Edward Island","Owner","High 95% confidence interval, percentage of households","Percent",9.2
2018,"Prince Edward Island","Owner","Number of persons in core housing need","Number",4300
2018,"Prince Edward Island","Owner","Low 95% confidence interval, number of persons","Number",2739
2018,"Prince Edward Island","Owner","High 95% confidence interval, number of persons","Number",6012
2018,"Prince Edward Island","Owner","Percentage of persons in core housing need","Percent",4
2018,"Prince Edward Island","Owner","Low 95% confidence interval, percentage of persons","Percent",2.7
2018,"Prince Edward Island","Owner","High 95% confidence interval, percentage of persons","Percent",5.8
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Number of households in core housing need","Number",200
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",0
2018,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",529
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",4.8
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",1.6
2018,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",13.2
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",200
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",0
2018,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",529
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",2.1
2018,"Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.8
2018,"Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",6
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",2800
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",1942
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",3715
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",7.1
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",5.2
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",9.7
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",4100
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",2554
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",5802
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",4.3
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",2.9
2018,"Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",6.3
2018,"Prince Edward Island","Renter","Number of households in core housing need","Number",2500
2018,"Prince Edward Island","Renter","Low 95% confidence interval, number of households","Number",2007
2018,"Prince Edward Island","Renter","High 95% confidence interval, number of households","Number",2984
2018,"Prince Edward Island","Renter","Percentage of households in core housing need","Percent",13.8
2018,"Prince Edward Island","Renter","Low 95% confidence interval, percentage of households","Percent",11.3
2018,"Prince Edward Island","Renter","High 95% confidence interval, percentage of households","Percent",16.8
2018,"Prince Edward Island","Renter","Number of persons in core housing need","Number",3700
2018,"Prince Edward Island","Renter","Low 95% confidence interval, number of persons","Number",2761
2018,"Prince Edward Island","Renter","High 95% confidence interval, number of persons","Number",4637
2018,"Prince Edward Island","Renter","Percentage of persons in core housing need","Percent",10.5
2018,"Prince Edward Island","Renter","Low 95% confidence interval, percentage of persons","Percent",8
2018,"Prince Edward Island","Renter","High 95% confidence interval, percentage of persons","Percent",13.6
2018,"Prince Edward Island","Renter not in social and affordable housing","Number of households in core housing need","Number",1800
2018,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",1366
2018,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",2321
2018,"Prince Edward Island","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",12.2
2018,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",9.5
2018,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",15.6
2018,"Prince Edward Island","Renter not in social and affordable housing","Number of persons in core housing need","Number",3000
2018,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",2157
2018,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",3954
2018,"Prince Edward Island","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",9.5
2018,"Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",6.9
2018,"Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",13
2018,"Prince Edward Island","Renter in social and affordable housing","Number of households in core housing need","Number",700
2018,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",516
2018,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",809
2018,"Prince Edward Island","Renter in social and affordable housing","Percentage of households in core housing need","Percent",23
2018,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",18
2018,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",28
2018,"Prince Edward Island","Renter in social and affordable housing","Number of persons in core housing need","Number",700
2018,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",460
2018,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",858
2018,"Prince Edward Island","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",17.3
2018,"Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",12.6
2018,"Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",23
2018,"Medium population centres, Prince Edward Island","Total, tenure","Number of households in core housing need","Number",2000
2018,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of households","Number",1519
2018,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of households","Number",2538
2018,"Medium population centres, Prince Edward Island","Total, tenure","Percentage of households in core housing need","Percent",9.2
2018,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of households","Percent",7.1
2018,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of households","Percent",11.7
2018,"Medium population centres, Prince Edward Island","Total, tenure","Number of persons in core housing need","Number",2900
2018,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of persons","Number",2028
2018,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of persons","Number",3782
2018,"Medium population centres, Prince Edward Island","Total, tenure","Percentage of persons in core housing need","Percent",5.6
2018,"Medium population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",4.1
2018,"Medium population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of persons","Percent",7.6
2018,"Medium population centres, Prince Edward Island","Owner","Number of households in core housing need","Number",500
2018,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of households","Number",221
2018,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, number of households","Number",873
2018,"Medium population centres, Prince Edward Island","Owner","Percentage of households in core housing need","Percent",4.6
2018,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of households","Percent",2.6
2018,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of households","Percent",8
2018,"Medium population centres, Prince Edward Island","Owner","Number of persons in core housing need","Number",600
2018,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of persons","Number",275
2018,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, number of persons","Number",1039
2018,"Medium population centres, Prince Edward Island","Owner","Percentage of persons in core housing need","Percent",2.1
2018,"Medium population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of persons","Percent",1.2
2018,"Medium population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of persons","Percent",3.7
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of households in core housing need","Number",100
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",0
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",334
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",6.6
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",1.7
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",22
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",100
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",0
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",370
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",3
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.8
2018,"Medium population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",11.2
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",400
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of households","Number",166
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of households","Number",714
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of households in core housing need","Percent",4.2
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",2.2
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",8
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Number of persons in core housing need","Number",500
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, number of persons","Number",226
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, number of persons","Number",886
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Percentage of persons in core housing need","Percent",1.9
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",0.9
2018,"Medium population centres, Prince Edward Island","Owner who is not a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",3.7
2018,"Medium population centres, Prince Edward Island","Renter","Number of households in core housing need","Number",1500
2018,"Medium population centres, Prince Edward Island","Renter","Low 95% confidence interval, number of households","Number",1083
2018,"Medium population centres, Prince Edward Island","Renter","High 95% confidence interval, number of households","Number",1879
2018,"Medium population centres, Prince Edward Island","Renter","Percentage of households in core housing need","Percent",14.6
2018,"Medium population centres, Prince Edward Island","Renter","Low 95% confidence interval, percentage of households","Percent",11
2018,"Medium population centres, Prince Edward Island","Renter","High 95% confidence interval, percentage of households","Percent",19
2018,"Medium population centres, Prince Edward Island","Renter","Number of persons in core housing need","Number",2300
2018,"Medium population centres, Prince Edward Island","Renter","Low 95% confidence interval, number of persons","Number",1462
2018,"Medium population centres, Prince Edward Island","Renter","High 95% confidence interval, number of persons","Number",3083
2018,"Medium population centres, Prince Edward Island","Renter","Percentage of persons in core housing need","Percent",10.9
2018,"Medium population centres, Prince Edward Island","Renter","Low 95% confidence interval, percentage of persons","Percent",7.5
2018,"Medium population centres, Prince Edward Island","Renter","High 95% confidence interval, percentage of persons","Percent",15.6
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Number of households in core housing need","Number",1000
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of households","Number",633
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of households","Number",1381
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Percentage of households in core housing need","Percent",11.9
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",8.1
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of households","Percent",17
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Number of persons in core housing need","Number",1700
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, number of persons","Number",946
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, number of persons","Number",2487
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Percentage of persons in core housing need","Percent",9.3
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",5.8
2018,"Medium population centres, Prince Edward Island","Renter not in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",14.6
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Number of households in core housing need","Number",500
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of households","Number",352
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of households","Number",626
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Percentage of households in core housing need","Percent",31
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of households","Percent",24
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of households","Percent",40
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Number of persons in core housing need","Number",600
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, number of persons","Number",397
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, number of persons","Number",785
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Percentage of persons in core housing need","Percent",24
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","Low 95% confidence interval, percentage of persons","Percent",16
2018,"Medium population centres, Prince Edward Island","Renter in social and affordable housing","High 95% confidence interval, percentage of persons","Percent",34
2018,"Small population centres, Prince Edward Island","Total, tenure","Number of households in core housing need","Number",700
2018,"Small population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of households","Number",376
2018,"Small population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of households","Number",1106
2018,"Small population centres, Prince Edward Island","Total, tenure","Percentage of households in core housing need","Percent",7.4
2018,"Small population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of households","Percent",4.3
2018,"Small population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of households","Percent",12.4
2018,"Small population centres, Prince Edward Island","Total, tenure","Number of persons in core housing need","Number",700
2018,"Small population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, number of persons","Number",346
2018,"Small population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, number of persons","Number",1148
2018,"Small population centres, Prince Edward Island","Total, tenure","Percentage of persons in core housing need","Percent",4.1
2018,"Small population centres, Prince Edward Island","Total, tenure","Low 95% confidence interval, percentage of persons","Percent",2.4
2018,"Small population centres, Prince Edward Island","Total, tenure","High 95% confidence interval, percentage of persons","Percent",7
2018,"Small population centres, Prince Edward Island","Owner","Number of households in core housing need","Number",400
2018,"Small population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of households","Number",106
2018,"Small population centres, Prince Edward Island","Owner","High 95% confidence interval, number of households","Number",803
2018,"Small population centres, Prince Edward Island","Owner","Percentage of households in core housing need","Percent",6.7
2018,"Small population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of households","Percent",2.7
2018,"Small population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of households","Percent",15.6
2018,"Small population centres, Prince Edward Island","Owner","Number of persons in core housing need","Number",400
2018,"Small population centres, Prince Edward Island","Owner","Low 95% confidence interval, number of persons","Number",106
2018,"Small population centres, Prince Edward Island","Owner","High 95% confidence interval, number of persons","Number",803
2018,"Small population centres, Prince Edward Island","Owner","Percentage of persons in core housing need","Percent",3
2018,"Small population centres, Prince Edward Island","Owner","Low 95% confidence interval, percentage of persons","Percent",1.2
2018,"Small population centres, Prince Edward Island","Owner","High 95% confidence interval, percentage of persons","Percent",7.4
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of households in core housing need","Number",0
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of households","Number",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of households","Number",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of households in core housing need","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of households","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of households","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Number of persons in core housing need","Number",0
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, number of persons","Number",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, number of persons","Number",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Percentage of persons in core housing need","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","Low 95% confidence interval, percentage of persons","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is a first-time homebuyer","High 95% confidence interval, percentage of persons","Percent",NA
2018,"Small population centres, Prince Edward Island","Owner who is not a first-time homebuyer","Number of households in core housing need","Number",400
